,title,date,company,company_link,location,type-salary,description
0,"Credit Manager | Sheraton Hanoi Hotel
- job post","Posted
Posted 30+ days ago","Marriott International, Inc",https://jobs.vn.indeed.com/cmp/Marriott-International?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67h8692ggn000&fromjk=d633822841ddff2c,Hà Nội,,
1,"Customer Success Account Manager
- job post","Posted
Posted 30+ days ago",LittleLives Inc Pte Ltd,https://jobs.vn.indeed.com/cmp/Littlelives-Inc-Pte-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67hcvqk3vs800&fromjk=dfc44617f5e391d3,Hà Nội,,"Hanoi, Hanoi
Work Type: Full Time
As a Customer Success Account Manager, you are responsible for the adoption, usage and success of a portfolio of clients. By building trust and enabling the success of your clients, you will be able to drive revenue growth through renewals and upselling. You are the primary customer-facing role, and your insights and relationships will allow you to realise incredible value for our customers, helping them love LittleLives as much as we do!

RESPONSIBILITIES
Close renewal business on a quarterly basis, meeting or exceeding assigned quota.
English communication (able to speak and present)
Upsell new business to existing clients to increase value per customer.
Actively own the adoption, usage and success of a portfolio of customers.
Engage with and understand customers’ businesses, needs and use cases for LittleLives.
Deliver expert engagements, such as training and onboarding, to educate and empower our customers to realise business value and maximise their ROI.
Partner closely with internal cross-functional team members to help understand the account and research solutions to solve customers business needs and challenges.
Operational discipline to ensure transparency on customer account health and accurate retention and upsell forecasting.
Identify insights and needs, and channel this information to product teams to develop new and improved features by.
Provide subject matter expertise on School Management Systems and become a trusted advisor to LittleLives’ customers.

REQUIREMENTS
What you need to succeed
Strong interpersonal skills and desire to work in a dynamic and fast-paced environment.
Ability to build and maintain relationships across multiple levels with assigned accounts and become a trusted advisor.
Strong communication and problem-solving skills.
Proven experience driving customer retention and growth initiatives, achieving high retention rates and strong upsell results, with customer satisfaction in a post sales environment.
Proven success leading customer-facing presentations, training and engagements.
Ability to handle objections, prioritise customer issues and collaborate with manager and colleagues to effectively drive resolution.
Keen interest in IT / Early childhood industry
Nice-to-have
Experience in software as a service
Experience working with CRM systems such as Hubspot
Experience in IT/Early childhood industry"
2,"MT Sales Manager
- job post","Posted
Posted 26 days ago","ICONIC Co,.Ltd.","https://jobs.vn.indeed.com/cmp/Iconic-Co.,-Ltd.-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67hgpkkntu800&fromjk=ad6cd0b045c31221",Thành phố Hồ Chí Minh,,"Job description:
Planning sales promotion plans and sales forecasting.
Achieving target sales and managing expenses.
Manage MT Sales Team.
Negotiations with main distributor.
Monthly report creation and reporting.
Job requirements:
Fluently communicating in English *Will work with Japanese manager.
Manage MT sales team experience or 3+ years MT account manager for home-use products (Preferable in charge of beverages or cooking ingredients).
Enthusiastic person who works with marketing and promotion team managers to establish new beverage categories in the VN market.
Who want to work for a long time in a stable workplace where they can balance work and life in a family mood company.
Job workplaces:
Hồ Chí Minh - Việt Nam
Job level:
Trưởng phòng
Job language:
Tiếng Anh
Job industry:
Bán hàng & Phát triển/Quản lý kinh doanh"
3,"Technical Success Manager (m/f/x) Online Marketing 100% remote
- job post","Posted
Today",Recruitment Base,https://jobs.vn.indeed.com/cmp/Recruitment-Base?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67hjk9k451800&fromjk=8e0d45468e8e75f7,Remote,,"As Technical Account Manager you will support our internal and external clients in online marketing campaigns configuration. We are working on our own proprietary solution that is the main point of client’s Marketing Technology Stack, integrating data from various services and delivering this data to external providers.

Tasks

Analyzing client websites to make sure they have the data needed for online marketing campaigns.
Setting up, running, checking, and turning off various services for clients.
Solving issues with these services.
Working with our developer teams to handle reported problems, configure services, improve existing solutions, and brainstorm new ones.
Checking problem reports and passing them to the right teams with initial analysis results.
Looking at services from external vendors that we haven't used yet when we need them.
Completing tasks with clear documentation for reference in the future.
Opportunity to become the go-to person for a particular area of our knowledge base and manage internal team documentation.
Actively participating in team meetings where we all discuss team matters (Governance Meeting).
Requirements

You should know about internet browsers (understand what happens when you enter a website URL and hit ""Enter"").
You should be comfortable using Developer tools in browsers (able to analyze network traffic and inspect data layer - like JavaScript variables and DOM elements variables).
You should be familiar with Online Marketing tools, such as:
Principles of Tag management systems (like Google Tag Manager, which is a must, and others like Tealium or Commanders Act)
Analytics tools like Google Analytics
Online Marketing platforms, like Google Ads, Facebook Advertising, and others (Criteo, Google Marketing Platform, Microsoft Advertising, etc.)
Consent Management Platforms (CMP) like Usercentrics, Klaro, OneTrust, Didomi
You should have some knowledge of SQL (to write basic queries for database data retrieval).
You should have some understanding of JavaScript (or a willingness to learn) to handle monitoring code implementation (tracking data, processing, using variables from DOM or URL).
You should be knowledgeable about online privacy topics, especially regarding tracking codes and Privacy Enhanced Technologies in various browsers.
Fluency in English is a must.
You should be able to document your work so that you or anyone else can pick up where you left off and retain valuable information for future reference (knowledge capture).
Understanding processes related to IT service management (like ITIL) is a plus.
You should be a good team player, adhering to mutually agreed-upon rules and be able to communicate on technical topics with both technical and non-technical individuals.
Knowledge of the German language is an added advantage.
You'll help maintain the team and company's positive image.
You should understand and support the team's vision, to which you will be contributing.
Benefits

Work in a global team.
remote work first company.
Competitive pay.
Enjoy perks like a MultiSport card and private health coverage.
Grow professionally with learning opportunities.
Join a friendly, energetic team with a laid-back work environment."
4,"Nhân Viên Kinh Doanh (tiếng Anh và tiếng Trung) [ Ba Đình - HN ]
- job post","Employer
Active 6 days ago","ICONIC Co,.Ltd.","https://jobs.vn.indeed.com/cmp/Iconic-Co.,-Ltd.-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67hpc6k3sq800&fromjk=053d059fbd4deb7e",Hà Nội,,"Job description:
Achieve sales plan.
All negotiations with existing and new customers.
Preparation of price quotation, sales promotion materials, any all kind of documents for sales activity.
Weekly and monthly report to managers.
Accounts receivable management.
Cooperation with company project through marketing activity.
Communication with other sister companies (delivery, item, clarification, development…)
Job requirements:
- Ages : 22 - 35.
Degree: Graduated from College or University.
English and Chinese speaker.
Having experience in sales or Trade or Marketing.
Able to communicate smoothly with customer and other parties.
Basic skill in Excel, Outlook, Power Point.
Strong inquisitive to develop new market and business.
Able to travel frequently to many places including other province in Viet Nam and overseas (mainly in Asia).
Job workplaces:
Hà Nội - Việt Nam
Job level:
Nhân viên
Job industry:
Bán hàng & Phát triển/Quản lý kinh doanh"
5,"Junior Account Manager
- job post","Posted
Posted 30+ days ago",BidGear,https://jobs.vn.indeed.com/cmp/Bidgear?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67hr6r2gfn000&fromjk=c7742451b0f044a9,Hà Nội,,"Responsibilities
Manage account setup and maintain accounts on the Bidgear system
Work with internal teams to deliver high returns for end customers
Work with the Leader to define, achieve and exceed business goals
Developing a publisher sales strategy that drives business growth
Continuously prospecting for new business using your existing network of relationships and creating new relationships
Developing and growing BidGear market presence
Support publisher issues in cooperation process

Qualifications
Fluent English (writing skill)
Experience in online advertising are preferred
Graduated applicants from Foreign Trade University, Diplomatic Academy of Vietnam, Vietnam University of Commerce are preferred.
Problem-solving and analytical skills
Good written, presenting & oral communication skills,
High energy, self motivated, willing to study, pressure bearable.

Benefits
Working in young, fresh and promoting environment
Opportunity to connect with foreign partners and to access global market
Trained with updated knowledge and technologies in online programmatic advertising industry
Competitive salary and bonus
Lunch paid, off-working on Saturdays and Sundays

Posted at: 2018-03-07"
6,"Manager - Operations Transformation - Banking Financial Services - VN
- job post","Posted
Posted 30+ days ago",Deloitte,https://jobs.vn.indeed.com/cmp/Deloitte?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67ht1cj6rp800&fromjk=d7ee6e75c8bf2d04,Hà Nội,,"Manager - Operations Transformation - Banking Financial Services - VN
Date: 9 Nov 2023
Type of Employment: Permanent Full Time
Location: Hanoi, Hanoi, VN
Ho Chi Minh City, Ho Chi Minh City, VN
Deloitte Consulting Southeast Asia (SEA) is the largest consulting practice in Southeast Asia, spanning Brunei, Indonesia, Malaysia, Myanmar, Philippines, Singapore, Thailand and Vietnam. We’re a seamless regional practice, with a strong workforce of more than 2,500. We use our expertise to advise clients and better their communities. With our collective skills, we help clients around the region reach business goals through strategy, customer engagement, innovation, human capital, technology and more.
(*) About us: https://www2.deloitte.com/gu/en/services/consulting.html

At Deloitte, we offer a unique and exceptional career experience to inspire and empower talents like you to make an impact that matters for our clients, people and society. Whatever your aspirations, Deloitte offers you unrivalled opportunities to realize your full potential. We are always looking for people with the relentless energy to push themselves further, and to find new avenues and unique ways to reach our shared goals.

So what are you waiting for? Join the winning team now.

Work location: Ha Noi/ Ho Chi Minh - Vietnam

Work you’ll do

Deloitte’s Financial Services industry group strives to support clients in addressing the challenges that impact today’s industry. Our member firm’s global network engages with clients to refine their business models through innovative practices, improved processes and enabling information technologies.

You will work alongside our clients to help them make decisions and implement solutions based on ""Heart of the Business"" issues and problem statements from architecting the strategic transformation agenda through to driving business value through execution and implementation.

You will work across all key segments within banking (retail, SME, wholesale, and wealth) and drive the latest and best-in-class transformation narrative for our banking sector clients across SEA. Typical engagements which you could be involved in include:
Front office / sales and service transformation
Omni-channel customer journey and experience design
Operating model transformation
Digital enablement and platform implementation
You will support Deloitte and client’s business growth by:
Identifying client’s business requirements / overall strategy and vision, and any opportunities for efficiencies in existing process / service design
Undertaking extensive desktop and on-the-ground research on various aspects relevant to our current and potential clients viz. market sizing, competitive benchmarking across channels, products, customer experience, digital capabilities, customer servicing, etc.
Developing draft pitch proposals including storyboarding, data analysis, opportunity sizing, proposed team composition, project costing and fee estimates
Using tech, human-centered design thinking and innovative approaches to solve business needs.
Participating in team problem solving efforts and offer ideas to solve client issues.
Facilitating client workshops to complete current state assessment and providing basis for future state design and rollout planning.
Conducting relevant research, data analysis, and create reports.
Maintaining responsibility for quality, completion, and accuracy of work products.
Assessing restructuring operating models, organizational structures, and business processes to streamline core operations’ service delivery.
Assisting in proposal development, as requested.
Actively expanding consulting skills and professional development through training courses, mentoring, and daily interaction with Deloitte colleagues and clients.
Your role as a leader
At Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We expect our people to embrace and live our purpose and shared values, challenging themselves every day to identify issues that are most important to our clients, our people, and the communities, and to make an impact that matters. In addition to living our purpose, Managers across our Firm are expected to:
Understand the goals of Deloitte, align our people to these objectives by setting clear priorities and direction by establishing a positive relationship with senior stakeholders.
Influence teams, and individuals positively. Lead by example and provide equal opportunity for people to grow, develop and succeed.
Delivers exceptional client service. Maximizes results and drives high performance from people while fostering collaboration across businesses and geographies.
Manage diverse teams within a highly inclusive team culture where people are respected and valued for their contribution.
Develop high-performing teams through challenging and meaningful opportunities and recognize them for the impact that they make.
Responsibilities

Collaborate with clients to understand their business needs, challenges, and goals within the insurance sector
Lead or Manage:
Opportunity Management – RFI /RfP Process, Solution Designing, Budgeting and Account Planning
Delivery Management – Project Management, Manage Project Team, Project P&L
Leadership - Mentor and coach team members, fostering their professional growth and development within the insurance consulting domain
Provide subject matter expertise in insurance industry trends, regulations, and best practices to guide clients in making informed
Collaborate with cross-functional teams, including data analysts, technology experts, and business development, to deliver comprehensive solutions to clients.
Stay updated on emerging technologies, market trends, and regulatory changes affecting the insurance industry to provide proactive advice to clients

Enough about us, let's talk about you

If you are someone with:

Tertiary qualification in a business, actuarial, finance or technology discipline.
Currently enrolled in an MBA program or have obtained the qualification with a well ranked institution.
Minimum 6-8 years of working experience in the Consulting Industry and/or Financial Services Industry – Banking Institutions.
Knowledge of Southeast Asia market, the core trends and drivers, with proficiency in articulating regulatory, economic, technological, and business impacts on key institutions.
Types of role led:
Digital transformation of within a bank
Transformation in company or bank i.e. sales and service transformation including customer journeys, service blueprints and process redesign
Strategy Consulting to define Target Operating Models and/or transformation to enable key drivers of change in banking (customer centricity, digitalization, growth, efficiency, regulatory change, sustainability)
Actuarial, risk, technology, digital, human capital related projects
Banking Cost Reduction, Efficiency, Automation, including Robotic Process Automation
Experience with Agile/Scrum methodologies, or Professional Scrum Master / Product Owner certifications will be well regarded.
Human-centered design thinking, logical structuring, and analytical problem-solving skills
Tech fluency and knowledge to provide advice to business, experience and understanding of Cloud solutions and platform implementation
Proficient in Excel and PowerPoint usage to present recommendations to client.
Exceptional interpersonal, team building, and communication skills, with demonstrated ability to write clearly, succinctly, and in a manner that appeals to a wide audience.
Ability to build consensus and foster change in ambiguous settings.
Next Steps
So what are you waiting for? Join the winning team now.

Due to volume of applications, we regret only shortlisted candidates will be notified.
#LI-GN
Requisition ID: 100950
In Vietnam, the services are provided by Deloitte Vietnam Company Limited and other related entities in Vietnam (""Deloitte in Vietnam""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Vietnam, which is within the Deloitte Network, is the entity that is providing this Website."
7,"05 Account Manager
- job post","Posted
Posted 30+ days ago",Rikkeisoft,https://jobs.vn.indeed.com/cmp/Rikkeisoft?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67i1qd2gfn000&fromjk=57f32290fe233382,Hà Nội,,"Địa Điểm
Hà Nội
Trình Độ
Senior
Mức Lương
Upto $1500
Ngày Hết Hạn
31/12/2023
Mô Tả Công Việc
We are looking for an Account Manager to create long term, trusting relationships with our customers. The Account Manager role is to oversee a portfolio of assigned customers, develop new business from existing clients, and actively seek new sales opportunities. Serve as the lead point of contact for customer account management matters Coordinate and support the production departments to facilitate client need fulfillment. Build and maintain strong, long lasting client relationships Negotiate contracts and close agreements to maximize profits Ensure the timely and successful delivery of our solutions according to customer needs and objectives Develop new business with existing clients and/or identify areas for improvement to meet sales quotas Report, track, and forecast key account metrics (e.g. monthly sales results and quarterly forecasts) Collaborate with the sales team to identify and grow opportunities within territory Negotiate, draft contracts, monitor contract performance, and handle arising issues Make payment procedures, monitor and report sales monthly/quarterly/yearly
Yêu Cầu
3+ years experience, Demonstrable ability to communicate, and present to stakeholders at all levels of an organization, including executive and manager Ability to multitask and juggle several responsibilities simultaneously BA/BS degree from FTU, DAV, Hanoi University... Age: 22 26 IELTS 7.0 Strong verbal and written communication skills Listening, negotiation, and presentation abilities NICE TO HAVE Experience with US/Australia/EU clients Experience in software industry
Quyền Lợi
Up to $1500 (level Senior), 700$ (level junior) Minimum of 13 salary months / year. Consider UP 2 times / year BONUS: Tet bonus, holiday bonus, HR recommendation bonus ... Seniority allowance (working time from 2 years or more). Join a free Japanese class taught by a native teacher. 5 official working days / week, 1 day off / month. Participate in the weekly Saturday Vocational Training, have allowance and lunch support. Saturday, Sunday + 12 days off / year (maximum 20 days off / year, any remaining days will be paid 500,000 VND / day). Clubs and many cultural sport art activities sponsored or supported by the company (For example: football, table tennis, badminton, swimming, music, English, games ... ) Health assurance: Periodic health check, support to buy high quality health insurance ... Join the Rikkei Care Health Plan. Spiritual comfort: Play music on demand every day, fresh fruit, integrated teambuilding activities ... Go out near and far everywhere. Opportunity to go to Japan to work and travel everywhere"
8,"Account Manager (Customer Success Department)
- job post","Posted
Posted 30+ days ago",Innity,https://jobs.vn.indeed.com/cmp/Innity-Corporation?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67i5iok3sq800&fromjk=2a9cb842532cbc51,Việt Nam,,"Overall Job Function
BENEFITS • Working in a dynamic, friendly and professional working environment. • Freely contribute your ideas which can be appreciated and put into practice. • Participate in training programs to upgrade capacity and academic skills. • Parties every month • 13th month salary • Health check package: 3M VND/year • Days off on Saturday, Sunday, Tet holidays and 14 days off / year • Social insurance and other benefits under The Vietnam Labor Law • Other benefits: Company trip, Tet Gift


Primary Responsibilities:
Go-to Client
o Coordinate with Account Planning Team to build good client rapport.
o Attend in meetings with client: Joing briefing, Present and persuade clients to approve social and tactical plan.
o Join in AOP planning and pitching strategy.
o Manage P&L of each campaigns.
o Collaborate with Account Planning Team to exercise quality control over deliverables to achieve client’s satisfaction.
o Lead and train Account Executives as assigned and support the Business Unit Head to build a good quality Customer Success Team.
Know-how Expert
o Deep-dive analyze content marketing to identify the upcoming marketing trends and recommend indications for clients.
o Support Account Planning Team to research and gather data to develop well-informed strategic plans for clients.
o Examining clients’ businesses to get to know their brands and understand their objectives.
Operation & Creative Success
o Support Account Operation Director and Account Planning Director to develop strategic approach for always-on/campaigns/AOP with data/facts/research… into one solid actionable plan/ proposal to clients.
o Produce cohesive and intelligent plans to bring success to campaigns.
o Contact, manage influencers to support for Social campaigns.
o Manage the whole process and collaboration in cross-function team members to ensure projects on track and meet client’s satisfaction.
o Developing clear and engaging content that is consistent with the client’s brand image that addresses both communication goals and end consumer expectations.
o Build up monthly/post campaign report & evaluation.
Specification and Requirement (Eligibility):
Graduated in Marketing, PR or Communication field
Experience in Works related to Marketing, Communication, Social, Digital at least 2 years
Excellent in English written and communication skills
Ability to present ideas for clients
Ability to catch up with new media trends
A good knowledge of the media and how strategy planning influences it
The ability to make complex subjects understandable
The flexibility to work over a number of projects and balance your workload"
9,"Junior Campaign and Account Manager
- job post","Employer
Active 11 days ago",MatchUp Influencer,https://jobs.vn.indeed.com/cmp/Matchup-Influencer?campaignid=mobvjcmp&from=mobviewjob&tk=1hg67i8ap2ggh000&fromjk=9aa634d816333faf,Hà Nội,,"Job Summary: The Junior Campaign and Account Manager is responsible for managing client accounts and developing and executing effective influencer marketing campaigns. This includes developing strategies, managing campaigns, and measuring results. The Junior Account and Campaign Manager is also responsible for building relationships with clients and influencers to ensure successful campaigns.
Responsibilities:
Manage client accounts and act as the primary point of contact for clients
Develop influencer marketing strategies that align with client goals
Identify and recruit influencers that align with client goals and brand
Negotiate contracts with influencers and manage influencer relationships
Develop campaign briefs and oversee the execution of campaigns
Analyze campaign data to measure success and optimize campaigns
Prepare reports and presentations for clients that highlight campaign results and recommendations
Manage campaign budgets and ensure campaigns are executed within budget constraints
Stay up-to-date on industry trends and best practices in influencer marketing
Qualifications:
Strong understanding of social media platforms and influencer marketing best practices
Excellent written and verbal communication skills in English
Ability to work independently and as part of a team
Strong analytical and problem-solving skills
Passion for influencer marketing
Previous experience creating content (YouTube, TikTok etc)
Benefits:
Fully Remote. You can work from the comfort of your own home or any other suitable environment that allows you to effectively perform your job responsibilities.
You'll have the opportunity to collaborate and interact with a diverse team of professionals from around the world. This global perspective provides a rich and dynamic work environment.
In addition to a competitive base salary, this position offers the potential to earn a commission based on your performance. Your efforts and successful campaign outcomes can directly contribute to your earnings.
If you are a highly motivated individual with a passion for influencer marketing, we encourage you to apply for this exciting opportunity.
Please send your resume and Linkedin profile to our contact details
Job Types: Contract, Full-time
Application Question(s):
Are you able to work in the North American time zone?
Language:
English (Required)"
