,title,date,company,company_link,location,type-salary,description
0,"FSU 2024 - Program for Fresher - R&D (R&D Operations & Data Analyst)
- job post","Posted
Posted 19 days ago",B. Braun Vietnam Co. Ltd.,https://jobs.vn.indeed.com/cmp/B.-Braun-5?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fhd7hk451801&fromjk=d262b82dc4ad056f,Hà Nội,,"Duties and responsibilities
1. Digitalization R&D Service operation
Screening and studying new program for applied possibility (Power app, Power automate)
Work on Data base system project
Analyze and research for improvement possibility: working hour, aging cost,…
Execute Power BI related task for R&D reports
Update, revise and create new safety operation instruction for required chambers
2. Operating of Aging chambers
Perform daily check and download data from chambers
3. Support Other R&D tasks
Support and execute tasks related to documentation, sample production, aging routine activities, 5S, etc…
Professional competencies
Bachelor Degree (Prefer in Technical major)
Have knowledge in Power BI, Power App, Power Automate, My SQL is a plus point
Having experience in Data Analysis is a plus point
Having knowledge about Microsoft Office in general
Good English skills (especially in writing and reading)
Personal competencies
Proactive and detailed oriented
Dynamic, willing to learn
What we offer
Become part of a corporate culture that actively promotes constructive exchanges between colleagues, customers and partners. Work with us to improve people's lives in the long term. We can offer you interesting, varied tasks and excellent opportunities for advancement, as well as an attractive salary with extensive benefits, all within a dynamic family-owned company.
Benefits
Receiving the formal training roadmap with opportunities to participate in real projects
Valuing the diversity in multinational working environment
Working at European professional working style
Receiving the competitive salary, attractive health care package
Being provided with lunch & bus by the company
Having flexible working hour and annual leave
Working in the business and production activities in the health and healthcare industry to serve the vision of protect and improve the health of people around the world."
1,"Marketing Data Analyst
- job post","Employer
Active 6 days ago","TRI7 Solutions, Inc.","https://jobs.vn.indeed.com/cmp/Tri7-Solutions,-Inc.-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fhj0fj6rp800&fromjk=505119c5b22aff64",Hà Nội,"25,000,000 VNĐ - 30,000,000 VNĐ a month","About the Role:
We are looking for someone who is curious, energetic, teamwork-oriented and has a willingness to elevate the performance of the team as a whole through an exceptional ability to research and turn data into insights. The Marketing Consumer and Data Analyst will help to develop and maintain dashboards, perform ad-hoc reporting based on business need, provide actionable insights based on data, and provide strategic support to the Marketing and Affiliate Teams. This position serves as an expert in digital marketing data sources, analysis and modeling. The ideal candidate will be able to manage multiple data sources and identify process improvements in how the data is tracked and reported.
The duties can be performed from any part of the world as long as you are ok to follow the Singapore time zone.
RESPONSIBILITIES:
· Consumer and Marketing Data Analytics
· Develop and implement data solutions and statistical models to improve the speed and effectiveness of business decisions
· Gather business requirements, design data structures, and develop code if needed to manage and report data using a diverse set of tools
· Collect, cleanse, analyze and provide data for digital marketing efforts Use data narratives and KPI’s to identify insights, trends, and business opportunities and effectively present these to stakeholders
· Interpret data and create ongoing and ad hoc report to interpret data and create ongoing and ad hoc reports Identify data and process improvement opportunities by monitoring existing metrics, analyzing data and partnering with internal teams as needed Develops data sets to enable self-service data analysis within the broader marketing organization
· Plan and implement marketing attribution models within a multi-channel advertising environment using data from Google, and other marketing automation software
REQUIREMENTS:
Critical requirements
· VN Nationality
· English language proficiency
· A minimum of 2 years experience working with digital marketing data in Online gambling or gaming industry
· Google Analytics knowledge
· Basic knowledge of search engine advertising tools (Google, Bing, Yahoo) and bid management systems (Adwords, DoubleClick, Search Ads 360, Google Analytics, Tag Manager etc.)
· Proficiency with Search Engine reporting tools (DoubleClick, Google Analytics, SEMRush, etc.)
· Advanced Excel/Google Spreadsheets/Data base capabilities
· Strong proficiency with Powerpoint/Google Slides
· Self-directed with a passion to continue to learn and grow, embracing the continuous improvement approach (define-measure-analyze-improve-control)
· Very strong teamwork orientation
· Ability to work with virtual, global teams across multiple time zones
· Strong project management skills
· Strong analytical skills
Desired but not required knowledge or capabilities
· Create and maintain data dashboards with visual software such as PowerBI/Google Data Studio using data from marketing platforms such as Google Analytics, Search Ads 360, Brightedge and other marketing data platforms.
· Previous experience in one of the following industries is a must:
-Gambling
-sports betting
-Mobile gaming
-E-sports
-Marketing processes understanding
· Amenable to Remote Work Permanently
Compensation:
VND25,000,000 to VND30,000,000
5days/week
12 days VL plus 7days VN Holidays
Job Type: Full-time
Salary: 25,000,000₫ - 30,000,000₫ per month
Experience:
Digital Marketing Data in Gaming Industry: 2 years (Preferred)
Language:
English (Preferred)"
2,"Thực tập sinh Phân tích dữ liệu (Data Analyst Intern)
- job post","Posted
Posted 30+ days ago",Mcredit,https://jobs.vn.indeed.com/cmp/Mcredit?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fhnpbj6rp800&fromjk=a49ac4d83c42735b,Hà Nội,,"PHÚC LỢI
Đào tạo
MÔ TẢ CÔNG VIỆC
Triển khai các mô hình phân tích dự báo, mô hình giải pháp tối ưu tiếp theo, mô hình bán chéo, mô hình chấm điểm hành vi khách hàng, mô hình cảnh báo sớm khách hàng rời bỏ…
Kiểm tra dữ liệu đưa vào mô hình, chuẩn bị tài liệu xây dựng mô hình và theo dõi kết quả triển khai
Đề xuất các giải pháp từ mô hình dự báo, đánh giá liên tục và theo dõi các mô hình dự báo đảm bảo theo sát kinh doanh, làm tăng các chỉ số chính xác của mô hình
Quản trị dữ liệu, khai thác đa chiều các báo cáo và kết nối đồng bộ các hệ thống quản lý thông tin của Công ty; Thực hiện gắn kết các nghiệp vụ công ty với dữ liệu hệ thống
Báo cáo định kỳ xoay quanh các chủ để về vận hành, kinh doanh, rủi ro để cung cấp cho các đơn vị kinh doanh trực tiếp, các đơn vị hỗ trợ kinh doanh và Ban lãnh đạo để nắm bắt được các thông tin của Công ty và hoạt động kinh doanh…
Thực hiện báo cáo, xây dựng các công cụ hiện đại để thực hiện báo cáo
Phân tích các chủ đề liên quan đến kinh doanh hoặc vận hành để đưa ra các giải pháp nhằm khắc phục các vấn đề đang bị tồn đọng hoặc các phương án để tăng hiệu quả
Quyền lợi
Nhận ngay lương cứng hỗ trợ Thực tập sinh: 4.000.000 - 7.000.000 VNĐ/ tháng
Môi trường làm việc Agile, trẻ trung
Làm việc trực tiếp với các chuyên gia đầu ngành trong nước và quốc tế tại Mcredit và đối tác của Mcredit (AWS, Atlassian, Flutter, Alfresco...)
Tham gia, đóng góp trực tiếp vào những dự án công nghệ cập nhật các xu hướng mới nhất trong nước và quốc tế
Lộ trình vị trí chính thức tại Mcredit
YÊU CẦU CÔNG VIỆC
Tốt nghiệp hoặc sắp tốt nghiệp đại học trở lên các chuyên ngành liên quan đến Tài chính - Ngân hàng, Tài chính - Doanh nghiệp, Kinh tế, Quản trị kinh doanh, Phân tích dữ liệu, hệ thống thông tin quản lý, Toán tài chính,...
Sử dụng các công cụ Excel, SQL, Python, VBA, Power BI,...
TOEIC 650 trở lên hoặc chứng chỉ tương đương
Tinh thần lạc quan, cởi mở và thái độ tích cực trong công việc, tương tác
Thích ứng với công nghệ số, linh hoạt và nhạy bén
**Bằng việc ấn nút ứng tuyển, bạn sẽ đồng ý chia sẻ với Mcredit các thông tin cá nhân có liên quan trong CV được đính kèm cho mục đích tuyển chọn và tham gia các quy trình tuyển dụng của chúng tôi. Chúng tôi sẽ xem xét kĩ thông tin của bạn và liên lạc trao đổi trực tiếp trong trường hợp hồ sơ phù hợp với công việc.

NƠI LÀM VIỆC
Hà Nội
CẤP BẬC
Sinh viên/ Thực tập sinh
HÌNH THỨC
Tự Do
BẰNG CẤP
Đại học
KINH NGHIỆM
Chưa có kinh nghiệm
MỨC LƯƠNG
Lương thỏa thuận
NGÀNH NGHỀ
Bán hàng / Kinh doanh, CNTT - Phần mềm, Tài chính / Đầu tư
PHÒNG BAN
Khối phát triển giá trị khách hàng
HẠN CHÓT NHẬN HỒ SƠ
31/12/2023"
3,"Finance Research Analyst (Internship)
- job post","Posted
Posted 30+ days ago",Dynamic Technology Lab Pte Ltd,https://jobs.vn.indeed.com/cmp/Dynamic-Technology-Lab-Pte-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fhtmpj6rm801&fromjk=7e3c2e2071bfe3d5,Hà Nội,,"Job Description
Finance Research Analysts gather data from various sources (e.g. SEC filings, new sources etc.) and do preliminary equity research based on topics guided by seniors.

Qualifications
Pursuing a Bachelor's/Master's degree in business, finance or economics-related fields
Knowledge and experience in the US market through personal trading and/or past internship
Good business understanding
Strong interest in the financial markets and equity research

Pluses
Proficient in Python"
4,"DATA ANALYST
- job post","Posted
Posted 30+ days ago",Giaohangtietkiem.vn,https://jobs.vn.indeed.com/cmp/Giaohangtietkiem-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fhvifkntg800&fromjk=a9b73e119a36cb91,Hà Nội,,"The PDA Center of GHTK is looking for candidates for the position of Data Analyst with the following job description:
I. RESPONSIBILITIES
– Manage master data, including creation, updates, and deletion.
– Assess the effectiveness and accuracy of data tables in our distributed system.
– Support the datamart in identifying and revising reporting requirements.
– Provide quality assurance on the quality and accuracy of data tables.
– Help develop reports and analysis.
– Support Business Analyst by preparing ad-hoc complicated/customized data tables.
– Serve as an advocate of our data-driven culture.
– Work with other members (Data Engineer, Business Analyst) to implement, integrate and optimize our existing systems.
II. REQUIREMENTS
– Have Bachelor degree in Information Systems, Information Management or Information Technology.
– Demonstrate competency in handling large data set and relational databases.
– Have experience in scripting with SQL, Spark, R/ Python.
– Possess logical thinking, detail-oriented, strong organizational skills, ability to multi-task and work independently under tight deadlines.
– Work experience as a data analyst is a plus.
– Work experience in working with Distributed system is a plus.
III. BENEFITS
– Competitive salary: up to $650/month (junior) or upto $2000/month (senior)
(Negotiable, and periodically reviewed based on your capacity).
– Truly cares about you and your experience at GHTK – Rewards and Promotions are available on special occasions.
– Attractive insurance package – You will be provided with a package of Generali premium health insurance, along with other benefits in accordance with Vietnam Labour Law: Health Insurance, Social Insurance,…
– Special and worthy welfare regimes – There are 12 days off per year, 13th-month salary, yearly Kick-off & Team-building events with various bonding activities at workplace.
– Amazing culture – Our working environment is young and dynamic with many promotion opportunities, creating a sustainable career path.
– Opportunity to work with the best – We not only hire talents but also collaborative ones.
– Get maximum support to master operations knowledge with additional leadership skills to meet the job’s requirements.
– Be empowered, self-determined, and have enough space for self-development in a typical E-logistics environment.
IV. OTHER INFORMATION
– Time of work: 9:00 am – 6:30 pm. From Monday to Friday and alternate Saturdays.
– Address: GHTK Building, 8 Pham Hung Street, Me Tri Ward, Nam Tu Liem District, Ha Noi.
V. HOW TO APPLY
– To apply for the Data Analyst position, please send us your CV to email: talent.acquisition@ghtk.co.
– Subject: DA – Your Name."
5,"(Remote) Junior AI/ML Analyst/Engineer
- job post","Employer
Active 6 days ago",Hexience Systems Limited,https://jobs.vn.indeed.com/cmp/Hexience-Systems-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fi4c42gfn000&fromjk=0056e18616e8f016,Hà Nội,"12,000,000 VNĐ - 20,000,000 VNĐ a month","Job Description:
We are looking for a passionate Junior AI/ML Engineer to join our team and help us build a small-scale proof of concept (PoC) project in the field of Generative AI. The ideal candidate will have a basic understanding of AI and Machine Learning models, particularly Generative Models, and will be comfortable using Python and its associated AI/ML libraries. This role provides an excellent opportunity for a recent graduate looking to gain hands-on experience in a dynamic and growing field.
Responsibilities:
Assist senior data scientists in designing and building a reliable and scalable AI/ GenAI infrastructure on cloud platforms or local database
Assist senior data scientists in improving on LLMs (e.g. finetuning, prompt engineering, prompt chaining, RAG)
Assist senior data scientists in developing custom machine learning models for multi-industry clients
Build and optimise data pipelines to provide clean and organised data products for downstream consumptions (e.g. analytics and machine learning applications)
Implement analytical data models, dashboards and reports using PowerBI and Tableau to enable customers to analyse data and make informed business decisions
Communicate data-driven insights and explain machine learning techniques to non-technical users. Explain technical concepts and analysis implications clearly to a wide and senior audience
Conduct technology research towards generative AI, especially on image generation and text generation
Skills/Qualifications:
Bachelor's degree in Computer Science, Data Science, AI, or a related field.
Basic understanding of AI and Machine Learning concepts.
Basic knowledge of Generative Models such as GANs, VAEs, or similar.
Proficient in Python programming and familiar with AI/ML libraries like TensorFlow or PyTorch.
Experience with data processing libraries such as NumPy and pandas.
Basic understanding of probability, statistics, and linear algebra.
Excellent written and verbal communication skills.
Strong problem-solving skills and ability to learn quickly.
Preferred but not Required:
Experience with using pre-trained models.
Prior experience in a similar role or project.
Familiarity with version control systems like Git.
We are an equal opportunity employer and value diversity in our company. We encourage applications from candidates of all backgrounds.
Loại hình công việc: Toàn thời gian
Lương: 12.000.000₫ - 20.000.000₫ một tháng
Thời hạn xin việc 10/11/2023"
6,"Intern - Risk Advisory - Sustainability & Climate
- job post","Posted
Posted 13 days ago",Deloitte,https://jobs.vn.indeed.com/cmp/Deloitte?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fi93ej6rm801&fromjk=5c8ece24e809e586,Hà Nội,,"Intern - Risk Advisory - Sustainability & Climate
Date: 13 Nov 2023
Type of Employment: Intern
Location: Hanoi, Hanoi, VN
Title: Intern - Risk Advisory - Sustainability & Climate

Are you ready to unleash your potential?

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and WorldImpact is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices.

Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

Work you’ll do

Conduct research, consolidate or analyze data at the guidance of the Risk Advisory Consultant
Translate RA deliverables such as proposals, reports, work sections
Be assigned on simple engagements to perform compliance check (required traveling to client site and conduct the work individually)
Be on fieldwork with RA consultants to support fieldwork work sections

Your role as a leader

At Deloitte, we believe in the importance of empowering our people to be leaders at all levels. We connect our purpose and shared values to identify issues as well as to make an impact that matters to our clients, people and the communities. Additionally, Associates / Analysts / Consultants across our Firm are expected to:
Demonstrate a strong commitment to personal learning and development.
Understand how our daily work contributes to the priorities of the team and business.
Understand the set expectations and demonstrate accountability in keeping personal performance on track.
Actively focus on developing effective communications and relationship-building skills with stakeholders, clients and team.
Demonstrate an appreciation for working with others.
Understand what is fundamental to Deloitte’s success as a business.
Demonstrate integrity and an awareness of strengths, differences, and personal impact.
Develop their understanding of Deloitte and offer a fresh perspective.


Requirements

Final year student with background in Economics, Finance & Banking, Business Administration, Applied Mathematics, Business Analytics, Data Science, …
Interested in Sustainability & Climate and be willing to learning new things
Strong analytical, numerical & research skills
Excellent command of English, both verbal and written
Ethical behavior
Strong interpersonal and team working skills
Enthusiasm and ability to assume a high level of responsibilities
High commitment to succeed and continue learning
Strong record of academic achievement as per latest GPA score


Due to volume of applications, we regret only shortlisted candidates will be notified. Candidates will only be contacted by authorized Deloitte Recruiters via firm’s business contact number or business email address.

Requisition ID: 101253
In Vietnam, the services are provided by Deloitte Vietnam Company Limited and other related entities in Vietnam (""Deloitte in Vietnam""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Vietnam, which is within the Deloitte Network, is the entity that is providing this Website."
7,"Data Analyst Intern (6-month full-time contract)
- job post","Posted
Posted 3 days ago",Gameloft,https://jobs.vn.indeed.com/cmp/Gameloft?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fid55j6rm800&fromjk=7fcd714a95b57765,Thành phố Hồ Chí Minh,,"Company Description

Are You Looking For a Fun Place to Work?
Join The Game!
Leader in the development and publishing of games, Gameloft® has established itself as a pioneer in the industry, creating innovative gaming experiences for over 20 years. Gameloft creates games for all digital platforms, from mobile to cross-platform titles for PC and consoles. Gameloft operates its own established franchises such as Asphalt®, Dragon Mania Legends, Modern Combat and Dungeon Hunter and also partners with major rights holders including LEGO®, Universal, Illumination Entertainment, Hasbro®, Fox Digital Entertainment, Mattel®, Lamborghini®, and Ferrari®. Gameloft distributes its games in over 100 countries and employs 3,400 people worldwide. Every month, 55 million unique users can be reached by advertisers in Gameloft games with Gameloft for brands, a leading B2B offering dedicated to brands and agencies. Gameloft is a Vivendi company.

Job Description
Collaborate with product development teams (game or gamification solutions) to understand the insight and prioritize the analysis needs
Acquire data from primary or secondary data sources and maintain databases/data systems
Filter and “clean” data by discovering any mismatches or outliers
Analyze data using statistical techniques and provide ongoing reports
Identify and interpret trends or patterns in complex data sets
Present information using dashboards and other data visualization techniques
Analyze Jira Data for production process
Point out bottlenecks in production
Analyzing and deconstructing the existing systems in the game balance and looking for improvements based on data.
Analyze player behavior, evaluate game performance and report suggestions accordingly.
Provide semester full player analysis for each projects
Provide quarterly full data analysis of all the games
Provide quarter list of recommendations based on data for each project
Provide monthly main kpis data evolution for each project

Qualifications

Experience
Degree in Mathematics, Economics, Computer Science, Information Management or Statistics
Working experience as a Data Analyst or Business Data Analyst is a plus
Knowledge
Knowledge regarding data models, database design development, data mining and segmentation techniques
Knowledge with reporting packages (Business Objects etc.), databases (SQL etc.), programming (XML, JavaScript, or ETL frameworks)
Knowledge of Jira (Data, Dashboards, JQL queries)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc.)
Knowledge of Microsoft Office applications
Knowledge in project management is a plus
Business Intelligence tools as Metabase or Microsoft Power BI is a plus
Skills
Ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Professional English competency
Good presentation & reporting skills
Good communication skills

Additional Information

Recruitment Process:
(1) Screening call. Only qualified candidates will be contacted by our recruiters,
(2) Test,
(3) Interview,
(4) Offer.
Work Location and Hour:
Work location: 26 Ung Van Khiem, Binh Thanh, HCMC (hybrid working model)
Work hours: 08:30 A.M - 06:00 P.M, Monday - Friday
What We Offer
An allowance of VND 6,000,000 gross/month (based on candidates' competencies & committed working days)
Professional training to fully develop your potential
A creative, modern and open working place with our talents from around the world
Work hard, play hard and enjoy various activities (team building, events, CSR, etc)
The opportunity to become an official employee of Gameloft
How to apply:
Kindly send your English CV and cover letter (optional) to: sai-recruitment@gameloft.com, titled: DAI_Your Full Name or apply here via SmartRecruiters.
Due to the high number of applicants, we regret to inform you that only shortlisted candidates will be notified. Thank you for your understanding!
Want to know more? Visit our websites:
Saigon Studio website
LinkedIn page
Facebook page"
8,"Data Analyst Executive
- job post","Posted
Posted 12 days ago",Công Ty TNHH Becamex Tokyu,https://jobs.vn.indeed.com/cmp/C%C3%B4ng-Ty-Tnhh-Becamex-Tokyu?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fiiv0j6rm800&fromjk=5f85f7424f8fc972,Bình Dương,,"Mô tả công việc:
(Mức lương: Thỏa thuận)
Job Description:
Analyzing customer data to uncover insights and trends to improve sales strategies
Managing customer relationship management (CRM) software and ensuring data accuracy
Support for planning small-scale sales events and campaigns and collaborating with vendors to organize sales events
Other tasks as assigned by manager.

Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Benefits:
Working time: Monday – Friday (8:00–17:00, 1-hour lunch break)
Fully welfare regimes according to state regulations
Annual travel and general health check, 13th-month salary, 24/7 health care package, union bonus, support lunch fee 800,000 VND, support phone fee 200,000 VND, support 50% tuition for self-development courses…
Free bus use for all routes of the Becamex Tokyu Bus route.
Shuttle bus from HCMC
Yêu cầu bằng cấp (tối thiểu): Đại Học
Yêu cầu công việc:
2+ years experience in sales data analysis roles
Strong multitasking abilities
Excellent analytical skills
Proficient in Excel and data analysis tools
Good English skills
Bachelor's degree in Business Administration or related field
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: CNTT - Phần Mềm,Data Analytics,SQL

Đại Học
Không yêu cầu"
9,"Data Analyst Intern
- job post","Posted
Posted 30+ days ago",Wolf Consulting,"https://jobs.vn.indeed.com/cmp/Wolf-Consulting,-LLC?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7fimrk2ggj002&fromjk=3178766f214cc3a3",Thành phố Hồ Chí Minh,,"Job Information
Industry
Technology
Salary
3000000
Country
Vietnam
State/Province
700000
City
HCM, Danang
Zip/Postal Code
700000
Job Description
Assist Business Analyst executives to gather and clarify business requirements;

Work with colleagues, managers, customers and stakeholders to analyze, understand and define business requirements;

Collaborate with team members to design a CRM solution that aligns with client’s business objectives;

Take charge of some parts within projects to prepare for DEMO, i.e. data collecting, reports, reports drafting, diagram & functional specification design;

Other duties as assigned by the Manager.

Requirements
Fresh-Graduate or Senior Student – University degree in BIS (Business Information System), Business Administration, IT or relevant fields

Having great insights into CRM / ERP / Business Application is preferred

Have strong sense of “be extremely careful"" and organizational skills

Willing-to-learn attitude

Willing to take on more challenges and responsibilities

Responsible for self-development.

Good English communication (both speaking and writing)

Competent at Microsoft Office (Word, Excel, PowerPoint)

Benefits
Professional development

Excellent working environment in a great team

Training will be provided for various tools and techniques

Potential for making permanent after or during the internships.

Allowance support"
