,title,date,company,company_link,location,type-salary,description
0,"Thực tập sinh Mô hình (Data Scientist Intern)
- job post","Posted
Posted 30+ days ago",Mcredit,https://jobs.vn.indeed.com/cmp/Mcredit?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64evl6k3qh800&fromjk=9f3c8945558145ce,Hà Nội,,"PHÚC LỢI
Đào tạo
MÔ TẢ CÔNG VIỆC
Phát triển và triển khai Mô hình Rủi ro/ Mô hình kinh doanh áp dụng đối với Khách hàng vay tiêu dùng bao gồm: Application score, behavior score, collection score
Chuẩn bị báo cáo theo dõi thẻ điểm định kì
Kiểm định, phân tích, đánh giá hiệu quả của Mô hình nội bộ/bên ngoài
Nghiên cứu và phát triển các Mô hình, Phương pháp, Cách áp dụng mới
Phân tích dữ liệu và đề xuất các chiến lược sử dụng mô hình để phục vụ các mục tiêu kinh doanh
Quyền lợi
Nhận ngay lương cứng hỗ trợ Thực tập sinh: 4.000.000-7.000.000 VNĐ/ tháng
Môi trường làm việc Agile, trẻ trung
Làm việc trực tiếp với các chuyên gia đầu ngành trong nước và quốc tế tại Mcredit và đối tác của Mcredit (AWS, Atlassian, Flutter, Alfresco...)
Tham gia, đóng góp trực tiếp vào những dự án công nghệ cập nhật các xu hướng mới nhất trong nước và quốc tế
Lộ trình vị trí chính thức tại Mcredit
YÊU CẦU CÔNG VIỆC
Tốt nghiệp hoặc sắp tốt nghiệp Đại học trở lên với chuyên ngành: toán, thống kê, công nghệ thông tin, computer science...
Có khẳng năng đọc tài liệu tiếng Anh, và kĩ năng viết cơ bản
Có kiến thức về thống kê, xây dựng mô hình rủi ro, machine learning
Thành thạo Python hoặc R
**Bằng việc ấn nút ứng tuyển, bạn sẽ đồng ý chia sẻ với Mcredit các thông tin cá nhân có liên quan trong CV được đính kèm cho mục đích tuyển chọn và tham gia các quy trình tuyển dụng của chúng tôi. Chúng tôi sẽ xem xét kĩ thông tin của bạn và liên lạc trao đổi trực tiếp trong trường hợp hồ sơ phù hợp với công việc.

NƠI LÀM VIỆC
Hà Nội
CẤP BẬC
Sinh viên/ Thực tập sinh
HÌNH THỨC
Tự Do
KINH NGHIỆM
Chưa có kinh nghiệm
MỨC LƯƠNG
Lương thỏa thuận
NGÀNH NGHỀ
Bán hàng / Kinh doanh, CNTT - Phần mềm, Tài chính / Đầu tư
PHÒNG BAN
Khối Quản trị rủi ro
HẠN CHÓT NHẬN HỒ SƠ
31/12/2023"
1,"Data Scientist
- job post","Posted
Posted 30+ days ago",SMARTOSC,https://jobs.vn.indeed.com/cmp/Smartosc?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64f4k1kntg800&fromjk=c2b88f1ccad54599,Hà Nội,,"Job Description
– Processes, cleans and verifies data to support analyses and models.
– Analyze large amounts of information to discover trends and patterns
– Research and develop algorithms, data models, and techniques to solve complex problems in organizational operations (Sales, Marketing, Finance, Human Resources etc)
– Operate and manage services with high quality and availability, cooperating with operation and development staff.
– Communicate findings to stakeholders

Requirements
– Bachelor or Master in Computer Science, Data Science, Statistics, Mathematics or other relevant fields.
– 4+ years of proven work experience in data analytics data science, machine learning, statistical modeling on business problems, operations research or supply chain
– Advanced experience in pattern recognition and predictive modeling
– Solid knowledge in KPI design and business performance tracking
– Experience working with large data sets.
– Familiarity with data visualization tools and techniques.
– Familiarity with data engineering concepts; design, construction and management of data pipelines
– Knowledge and experience in team managements
– Ability to work effectively in a dynamic, result-oriented environment
– Excellent communication and presentation skills
– Deeply rooted scientific mindset and a data-driven approach to work.
– English proficiency

Benefits
– Attractive salary package
– Salary reviews twice a year
– Flexible working hour (Monday to Friday, between 7:30am – 7:30pm on staff’s preference)
– Premium health care up to $3,000/year
– Working in professional English environment
– Free language and professional training packages
– Annual company trip inside or outside Vietnam
– Other fun activities: happy hour, quarterly team building, football club, yoga club, swimming club, charity activities, etc.
– Entertainment parties: Vacation, Anniversary party, Year-End Party, etc."
2,"Freelance AI/ML Engineer
- job post","Posted
Posted 30+ days ago",Drcom Group,https://jobs.vn.indeed.com/cmp/Drcom-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64f9d3h0jc800&fromjk=81dac6a31096f690,Việt Nam,,"Vietnam
Freelance
Location: Anywhere
Level of management: Freelancer
Job Information
We are seeking an experienced AI/ML Developer to build and implement functional programs with an emphasis on machine learning and artificial intelligence. You will work with other Developers and Data Scientists throughout the software development life cycle.
Location: Vietnam
Level of management: Executive.
We are seeking an experienced AI/ML Developer to build and implement functional programs with an emphasis on machine learning and artificial intelligence. You will work with other Developers and Data Scientists throughout the software development life cycle.
Key duties will be
Job Requirements
Designing AI/ML model architectures
Developing new prototypes, concepts, and models
Implementing machine learning algorithms and libraries
Conducting machine learning experiments and tests
Implementing appropriate ML algorithms
General:
Proven experience as an AI Specialist or similar role
Understanding of machine learning frameworks (like Keras or PyTorch) and libraries
Proficient in Python and Java
Ability to write robust and testable code
Strong communication skills.
Have experience working with HuggingFace platform, such as training custom model, fine-tuning and using pipelines"
3,"(Remote) Junior AI/ML Analyst/Engineer
- job post","Employer
Active 5 days ago",Hexience Systems Limited,https://jobs.vn.indeed.com/cmp/Hexience-Systems-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64ff5o2ggh000&fromjk=0056e18616e8f016,Hà Nội,"12,000,000 VNĐ - 20,000,000 VNĐ a month","Job Description:
We are looking for a passionate Junior AI/ML Engineer to join our team and help us build a small-scale proof of concept (PoC) project in the field of Generative AI. The ideal candidate will have a basic understanding of AI and Machine Learning models, particularly Generative Models, and will be comfortable using Python and its associated AI/ML libraries. This role provides an excellent opportunity for a recent graduate looking to gain hands-on experience in a dynamic and growing field.
Responsibilities:
Assist senior data scientists in designing and building a reliable and scalable AI/ GenAI infrastructure on cloud platforms or local database
Assist senior data scientists in improving on LLMs (e.g. finetuning, prompt engineering, prompt chaining, RAG)
Assist senior data scientists in developing custom machine learning models for multi-industry clients
Build and optimise data pipelines to provide clean and organised data products for downstream consumptions (e.g. analytics and machine learning applications)
Implement analytical data models, dashboards and reports using PowerBI and Tableau to enable customers to analyse data and make informed business decisions
Communicate data-driven insights and explain machine learning techniques to non-technical users. Explain technical concepts and analysis implications clearly to a wide and senior audience
Conduct technology research towards generative AI, especially on image generation and text generation
Skills/Qualifications:
Bachelor's degree in Computer Science, Data Science, AI, or a related field.
Basic understanding of AI and Machine Learning concepts.
Basic knowledge of Generative Models such as GANs, VAEs, or similar.
Proficient in Python programming and familiar with AI/ML libraries like TensorFlow or PyTorch.
Experience with data processing libraries such as NumPy and pandas.
Basic understanding of probability, statistics, and linear algebra.
Excellent written and verbal communication skills.
Strong problem-solving skills and ability to learn quickly.
Preferred but not Required:
Experience with using pre-trained models.
Prior experience in a similar role or project.
Familiarity with version control systems like Git.
We are an equal opportunity employer and value diversity in our company. We encourage applications from candidates of all backgrounds.
Loại hình công việc: Toàn thời gian
Lương: 12.000.000₫ - 20.000.000₫ một tháng
Thời hạn xin việc 10/11/2023"
4,"CV/CVCC Mô Hình (Data scientist)
- job post","Posted
Posted 30+ days ago",Mcredit,https://jobs.vn.indeed.com/cmp/Mcredit?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64fjva2gfn000&fromjk=5d9d583497f4ebf8,Hà Nội,,"PHÚC LỢI
Bảo hiểm
Du Lịch
Phụ cấp
Thưởng
Chăm sóc sức khỏe
Đào tạo
Tăng lương
MÔ TẢ CÔNG VIỆC
Phát triển và triển khai Mô hình Rủi ro/ Mô hình kinh doanh áp dụng đối với Khách hàng vay tiêu dùng bao gồm: Application score, behavior score, collection score
Chuẩn bị báo cáo theo dõi thẻ điểm định kì
Kiểm định, phân tích, đánh giá hiệu quả của Mô hình nội bộ/bên ngoài
Nghiên cứu và phát triển các Mô hình, Phương pháp, Cách áp dụng mới
Phân tích dữ liệu và đề xuất các chiến lược sử dụng mô hình để phục vụ các mục tiêu kinh doanh

YÊU CẦU CÔNG VIỆC
Tốt nghiệp Đại học trở lên với chuyên ngành: toán, thống kê, công nghệ thông tin, computer science...
- 1 - 3 Năm kinh nghiệm tương đương
Có khẳng năng đọc tài liệu tiếng anh, và kĩ năng viết cơ bản
Có kiến thức về thống kê, xây dựng mô hình rủi ro, machine learning
Thành thạo Python hoặc R
**Bằng việc ấn nút ứng tuyển, bạn sẽ đồng ý chia sẻ với Mcredit các thông tin cá nhân có liên quan trong CV được đính kèm cho mục đích tuyển chọn và tham gia các quy trình tuyển dụng của chúng tôi. Chúng tôi sẽ xem xét kĩ thông tin của bạn và liên lạc trao đổi trực tiếp trong trường hợp hồ sơ phù hợp với công việc.

NƠI LÀM VIỆC
Hà Nội (Quận Đống Đa)
CẤP BẬC
Nhân viên
HÌNH THỨC
Nhân viên chính thức
BẰNG CẤP
Đại học
KINH NGHIỆM
1 - 3 Năm
MỨC LƯƠNG
Lương thỏa thuận
NGÀNH NGHỀ
Kế toán / Kiểm toán, Ngân hàng, Tài chính / Đầu tư
PHÒNG BAN
Các vị trí Chuyển đổi số
HẠN CHÓT NHẬN HỒ SƠ
31/12/2023"
5,"Data Engineer/ Data Scientist Big Data, Python, SQL
- job post","Posted
Posted 17 days ago",Ngân Hàng TMCP Công Thương Việt Nam,https://jobs.vn.indeed.com/cmp/Ng%C3%A2n-H%C3%A0ng-Tmcp-C%C3%B4ng-Th%C6%B0%C6%A1ng-Vi%E1%BB%87t-Nam?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64fonbk3su800&fromjk=50a367f291e8c732,Hà Nội,,"Mô tả công việc:
(Mức lương: Thỏa thuận)
Làm một trong các mảng công việc sau:
Data Engineer
Tham gia phát triển và triển khai các dịch vụ sử dụng các công nghệ Big Data: Hadoop ecosystem, Kafka, Spark, Airflow, …
Nghiên cứu, xây dựng, tối ưu các Job ETL có khả năng mở rộng linh hoạt với độ tin cậy cao, phục vụ cho việc khai thác/ingest, tổng hợp các loại dữ liệu từ nhiều nguồn khác nhau;
Quy hoạch, thiết kế các công cụ nền tảng, công cụ giám sát, cảnh báo KPI chất lượng số liệu… để tự động giám sát hiện trạng của hệ thống, chất lượng dữ liệu giúp đưa ra các cảnh báo kịp cho team
Nghiên cứu và quy hoạch các công cụ khai thác, phân tích số liệu (Big Data OLAP, Notebook …)
Data Scientist
Phối hợp với nghiệp vụ phân tích vấn đề kinh doanh, phân tích khám phá (EDA), mô hình hóa dữ liệu để tìm ra xu hướng kinh doanh, hình mẫu, bản chất của hiện tượng, hành vi người dùng,…và đưa ra các nhận định trong việc ứng dụng khai thác dữ liệu vào hoạt động kinh doanh tạo ra giá trị. Tư vấn cho nghiệp vụ, đội ngũ BA/DA về hướng triển khai ứng dụng học máy, học sâu vào hoạt động kinh doanh.
Xây dựng mô hình học máy giải quyết các bài toàn phát triển kinh doanh.
Xây dựng luồng ETL tổng hợp dữ liệu, tiền xử lý, trích xuất đặc trưng với định dạng phù hợp với mục đích xây dựng từng loại mô hình.
Nghiên cứu công cụ, giải pháp, thuật toán nhằm xây dựng mô hình học máy, học sâu trên quy mô dữ liệu lớn với Pyspark, Tensorflow/Pytorch,… ứng dụng triển khai các chương trình kinh doanh, marketing, ứng dụng xây dựng hệ thống khuyến nghị, tích hợp gia tăng hiệu quả app/web…
Nghiên cứu thiết kế, cài đặt, tối ưu các thuật toán, công nghệ học máy, học sâu triển khai hiệu quả các bài toán.
Analytics Translator
Hiểu biết về nghiệp vụ ngân hàng: Cần hiểu về ngành ngân hàng, các quy trình kinh doanh
Kiến thức về dữ liệu và phân tích dữ liệu: Có hiểu biết về các nguồn dữ liệu trong ngân hàng, cách làm sạch và biến đổi dữ liệu, và cách áp dụng phân tích dữ liệu để giải quyết vấn đề và cải thiện hiệu suất kinh doanh.
Kỹ năng giao tiếp: Có khả năng giao tiếp một cách hiệu quả với các bên liên quan kỹ thuật và kinh doanh. Có khả năng biên dịch thông tin kỹ thuật thành ngôn ngữ kinh doanh dễ hiểu.
Kiến thức về quyền riêng tư và bảo mật dữ liệu: Hiểu về quyền riêng tư và bảo mật dữ liệu, đặc biệt là trong ngành ngân hàng, và tuân thủ các quy định liên quan đến nó.
Sử dụng công cụ phân tích dữ liệu: Có kiến thức về các công cụ, hoặc công cụ phân tích dữ liệu do ngân hàng sử dụng
Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Thời gian làm việc: 8 - 17h từ thứ 2 - thứ 6
Mức lương cạnh tranh
Mua bảo hiểm VBI
Yêu cầu bằng cấp (tối thiểu): Đại Học
Yêu cầu công việc:
Tốt nghiệp ĐH trở lên chuyên ngành: Khoa học dữ liệu, Khoa học máy tính, CNTT, Toán học ứng dụng, hoặc chuyên ngành khác liên quan;
Thành thạo các ngôn ngữ truy vấn CSDL như SQL và NoSQL .
Kiến thức về lập trình lưu trữ, xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, ElasticSearch, Kafka, …)
Kiến thức xây dựng, tối ưu luồng xử lý dữ liệu (batch processing, stream procesing, …);
Có chứng chỉ quốc tế về Data Enginner (AWS, CCA, CCP, IBM Certified Data Engineer, Google Professional Data Engineer …) là một lợi thế
Hoặc có các kiến thức sau
Kiến thức về xác suất thống kê, đại số tuyến tính, lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị, cơ sở dữ liệu, mô hình học máy decision trees, linear regression, ensemble (random forest, boosting tree), k-means, SVM, PCA…;
Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA);
Kỹ năng sử dụng thành thạo một trong các package học máy (scikit-learn, TensorFlow, Keras, PyTorch, Pyspark MLlib, …);
Kỹ năng sử dụng ngôn ngữ lập trình (Python, Java, Scala, R, …), SQL, các thư viện Pandas, Numpy
Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình.
Có kiến thức về học sâu, mạng neural nhân tạo, các kiểu mạng MLP, CNN, LSTM, RNN là một lợi thế
Có kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, …) là một lợi thế;
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: Big Data/Hadoop,CNTT - Phần Cứng,CNTT - Phần Mềm,Python

Đại Học
Dưới 1 năm"
6,"Data Scientist (Data Analyst)
- job post","Posted
Posted 3 days ago",Deliveree On-Demand Logistics,https://jobs.vn.indeed.com/cmp/Deliveree-On--demand-Logistics?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64fqm1kntg800&fromjk=9acfd4ba9f02aaaa,Thành phố Hồ Chí Minh,,"Deliveree On-Demand Logistics

431 Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam, Tan Binh, Ho Chi Minh
At office
Posted 3 days ago
Skills:
Data Analyst
Database
Top 3 reasons to join us
International Working Environment
Stronger Career Path / More opportunity
Competitive compensation & Benefits
Job description
Are you looking to be more than just an ordinary Data Scientist? Do you have what it takes to see where you can improve the lives of others through a great and intelligent system to solve issues and improve life? Do you want your products to be used by millions of users in the world and know immediately how much they love your work?
As a Data Scientist with us, you will utilize a variety of data mining and analysis techniques to generate insights and develop algorithms/models, aiding in product enhancement and informed decision-making across countries. Your ability to turn data into business results and work effectively with diverse teams is crucial. Your passion for machine learning and research will be key in driving better business outcomes.
This role offers a challenging yet enriching experience in a fast-paced startup environment, revolutionizing the logistics industry with your expertise and passion for technology.
Your skills and experience
We are in search of a dynamic individual who possesses:
1. Educational Background: A Bachelor’s degree in any field, but ideally with a blend of software engineering and statistical/mathematical acumen. Candidates should demonstrate the ability to develop clean and efficient code, underpinned by a solid understanding of theoretical principles.
2. Experience: While there is no strict minimum experience requirement, we value innate talent over years in the field. However, candidates should exhibit an understanding of working in a high-velocity, professional environment, characterized by strong motivation, and a growth mindset to navigate challenges.
3. Curiosity and Enthusiasm: We seek candidates who are genuinely curious and excited about applying algorithms to solve complex problems. A strong affinity for AI and a natural state of 'flow' when engaging with it is essential.
4. Generalist Data Science Skills: Proficiency in the core concepts of machine learning, deep learning, and familiarity with Large Language Models (LLM) is crucial. The role involves working across various AI subfields, such as tabular data, computer vision, NLP, and MLOps, contributing to the development and infrastructure of AI projects. This is a challenging yet rewarding opportunity for those ready to engage in meaningful, long-term, and impactful work.
5. Project Lifecycle Awareness: Comprehensive understanding of the AI project development cycle, including LLM-based projects, and the ability to articulate and execute each step of the process.
6. Self-Driven Work Ethic: Candidates should be capable of independent work and research, proactively proposing solutions and seeking guidance when necessary.
7. Detail-Oriented Approach: A keen eye for detail and a natural intuition for data is critical, as the role involves extensive data handling.
8. Analytical Mindset: A strong analytical and data-driven approach is essential for success in this role.
9. Database Knowledge: Basic knowledge of data warehouses, databases (both OLTP and OLAP), ETL/ELT processes, and the ability to perform data querying and transformation using SQL.
10.Communication Skills: Excellent presentation skills are required, with the ability to clearly articulate complex ideas in an easily understandable manner, both in writing and speaking.
11. Others: Support the 13th month salary for a suitable candidate who wants to change the current job and can join before Tet 2024.
Why you'll love working here
REGIONAL COMPANY
An exciting opportunity to work with the fastest growing international logistics player.
International environment where you can work and learn with coworkers from different southeast asian markets.
Opportunities for onsite trip in our operating markets.
Relocation Package to HCMC if from far city or country
Flexible working hour.
FOOD & BEVERAGE
Free high quality office lunch buffet or restaurant menu
All Day Coffee Station Machine with some of the best coffee beans around
Free Late Dinner Menu from near restaurant
Free Flow of Coffee and Drinks (Juice, Coke, Sprite, Red Bull)
All Day Free Snack
Every Friday Special Snack & Beers
COOL SPONSORSHIP
Sponsorship for 6 or 12 months Gym (2 floors above) to stay healthy and in shape!
Monthly Mobile Data Allowance
Cool Sponsorship (English Class, Laptop,…)
BONUSES
Loyalty Bonus Package
13th Month Salary
HEALTH & LEAVES
Annual Health Checkup
Attractive Healthcare Insurance Package
15 Days Paid Annual Leave
SOCIAL & ENTERTAINMENT
Welcome Kit from Deliveree
Regular Team Social Events
Cool Entertainment Area (Guitar, Video Games, ...)

Deliveree On-Demand Logistics

At Deliveree, we disrupt the logistics industry with technologies.
Company type
Product
Company size
51-150 employees
Country
Singapore
Working days
Monday - Friday
Overtime policy
No OT"
7,"Crypto Data Engineer Intern ( Hanoi-Remote)
- job post","Posted
Posted 30 days ago",Token Metrics,https://jobs.vn.indeed.com/cmp/Token-Metrics?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64fug6k3su800&fromjk=e08c08bc26c38c5e,Hà Nội,,"Token Metrics is seeking a multi-talented Big Data Engineer intern to facilitate the operations of our Data Scientists and Engineering team. The Big Data Engineer intern will be responsible to employ various tools and techniques to construct frameworks that prepare information using SQL, Python, R, Java, and C++. The Big Data Engineer intern will be responsible for employing machine learning techniques to create and sustain structures that allow for the analysis of data while remaining familiar with dominant programming and deployment strategies in the field. During various aspects of this process, you should collaborate with coworkers to ensure that your approach meets the needs of each project.

The duration of the Token Metrics internship program is 3 months. It is an evaluative unpaid internship with the possibility of return offers, depending on the company's needs.
Responsibilities
Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
Developing ideas for new programs, products, or features by monitoring industry developments and trends.
Recording data and reporting it to proper parties, such as clients or leadership.
Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.
Taking lead on projects, as needed.
Requirements
Bachelor’s degree in computer programming, computer science, or a related field.
More education or experience may be required.
Fluency or understanding of specific languages, such as Java, PHP, or Python, and operating systems may be required.
Strong understanding of the web development cycle and programming techniques and tools.
Focus on efficiency, user experience, and process improvement.
Excellent project and time management skills.
Strong problem solving and verbal and written communication skills.
Ability to work independently or with a group.
About Token Metrics

Token Metrics helps crypto investors build profitable portfolios using artificial intelligence-based crypto indices, rankings, and price predictions.

Token Metrics has a diverse set of customers, from retail investors and traders to crypto fund managers, in more than 50 countries."
8,"Data Scientist (40000031)
- job post","Posted
Posted 13 days ago",Techcombank,https://jobs.vn.indeed.com/cmp/Techcombank?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64g17kh0jc800&fromjk=bd9bc2b8e793dcf5,Thành phố Hồ Chí Minh,,"13 Nov 2023
Data Scientist (40000031)
Category: Data And Analytics Division
Job Type:
Facility: Data & Analytics
Job Purpose
The job holder supervises the setup of analytical tools to generate insights for customer journeys and product enhancements using programming methods, processes and systems to consolidate and analyze unstructured, diverse Big Data sources.
The job holder is required to take initiative in experimenting various technologies and tools with vision of creating innovative data driven insights for the business at the quickest pace possible and keep current with technical and industry developments.
Key Accountabilities (1)
Data Solutioning
Evaluate effectiveness of proposed models and track business performance against data analysis model.
Build cutting-edge algorithms and work with machine learning and deep learning tools to deliver advance analytics solutions across the firm including recommendation engines, customized data models, customer journeys, graph modes, etc.
Drive application of machine learning and big data techniques across different journeys and squads.
Manage, execute, and review complex data science projects in an agile manner and in compliance with internal regulatory requirements.
Key Accountabilities (2)
Data Insighting
Lead the identification and interpretation of meaningful and actionable insights from large data and metadata sources.
Review processes and tools designed to monitor and analyze model performance and data accuracy.
Proactively lead discussions in 3+ squads to identify questions and issues for data analysis
Collaborate with Data Engineers to build complex, technical algorithms in data analytics software applications to improve work efficiency.
Key Accountabilities (3)
Projects Management
Manage project conflicts, challenges and dynamic business requirements to keep operations running at high performance.
Work with team leads to resolve people problems and project roadblocks, conduct post mortem and root cause analysis to help squads continuously improve their practices to ensure maximum productivity.
Talent Development
Mentor and coach Data Analysts into fully competent Data Scientists.
Identify and encourage areas for growth and improvement within the tribe.
Success Profile - Qualification and Experiences
Qualifications
Bachelor's or Master’s degree in Statistics, Mathematics, Quantitative Analysis, Computer Science, Software Engineering or Information Technology
Work Experience
7+ years of relevant experience in areas of data analysis, machine learning, deep learning model development on large amount of data, implementing and deploying various statistical models
English proficiency requirements are pursuant to Techcombank's policy
Deep experience in querying databases and using programming languages (e.g. C, C++, R, Python, Scala, SQL, Java, Tableau, R)
Extensive experience in building data and analytics solutions, data mining, statistical analysis and data visualization
Experience in application of machine learning and AI to questions related to the financial markets
Experience in providing fact-based insights to help senior management and other stakeholders realize enterprise value at scale
Deep experience in Agile Software Development and has mastery of Agile principles, practices and Scrum methodologies
Experience working in Agile teams to lead successful digital transformation projects, involved in the end-to-end planning to implementation"
9,"Data Engineer/ Data Scientist (Big Data, Python, SQL)
- job post","Posted
Posted 18 days ago",VietinBank,https://jobs.vn.indeed.com/cmp/Vietinbank?campaignid=mobvjcmp&from=mobviewjob&tk=1hg64g623j6rp800&fromjk=7620f864f2ae42b2,Hà Nội,,"VietinBank

187 Nguyễn Lương Bằng , Dong Da, Ha Noi
At office
Posted 11 days ago
Skills:
Python
SQL
Data Analyst
Top 3 reasons to join us
Thu nhập từ 20 - 22 tháng lương/năm
Được đào tạo trend công nghệ mới
Team building, year-end party...
Job description
Làm một trong các mảng công việc sau:
Data Engineer
Tham gia phát triển và triển khai các dịch vụ sử dụng các công nghệ Big Data: Hadoop ecosystem, Kafka, Spark, Airflow, …
Nghiên cứu, xây dựng, tối ưu các Job ETL có khả năng mở rộng linh hoạt với độ tin cậy cao, phục vụ cho việc khai thác/ingest, tổng hợp các loại dữ liệu từ nhiều nguồn khác nhau;
Quy hoạch, thiết kế các công cụ nền tảng, công cụ giám sát, cảnh báo KPI chất lượng số liệu… để tự động giám sát hiện trạng của hệ thống, chất lượng dữ liệu giúp đưa ra các cảnh báo kịp cho team
Nghiên cứu và quy hoạch các công cụ khai thác, phân tích số liệu (Big Data OLAP, Notebook …)
Data Scientist
Phối hợp với nghiệp vụ phân tích vấn đề kinh doanh, phân tích khám phá (EDA), mô hình hóa dữ liệu để tìm ra xu hướng kinh doanh, hình mẫu, bản chất của hiện tượng, hành vi người dùng,…và đưa ra các nhận định trong việc ứng dụng khai thác dữ liệu vào hoạt động kinh doanh tạo ra giá trị. Tư vấn cho nghiệp vụ, đội ngũ BA/DA về hướng triển khai ứng dụng học máy, học sâu vào hoạt động kinh doanh.
Xây dựng mô hình học máy giải quyết các bài toàn phát triển kinh doanh.
Xây dựng luồng ETL tổng hợp dữ liệu, tiền xử lý, trích xuất đặc trưng với định dạng phù hợp với mục đích xây dựng từng loại mô hình.
Nghiên cứu công cụ, giải pháp, thuật toán nhằm xây dựng mô hình học máy, học sâu trên quy mô dữ liệu lớn với Pyspark, Tensorflow/Pytorch,… ứng dụng triển khai các chương trình kinh doanh, marketing, ứng dụng xây dựng hệ thống khuyến nghị, tích hợp gia tăng hiệu quả app/web…
Nghiên cứu thiết kế, cài đặt, tối ưu các thuật toán, công nghệ học máy, học sâu triển khai hiệu quả các bài toán.
Analytics Translator
Hiểu biết về nghiệp vụ ngân hàng: Cần hiểu về ngành ngân hàng, các quy trình kinh doanh
Kiến thức về dữ liệu và phân tích dữ liệu: Có hiểu biết về các nguồn dữ liệu trong ngân hàng, cách làm sạch và biến đổi dữ liệu, và cách áp dụng phân tích dữ liệu để giải quyết vấn đề và cải thiện hiệu suất kinh doanh.
Kỹ năng giao tiếp: Có khả năng giao tiếp một cách hiệu quả với các bên liên quan kỹ thuật và kinh doanh. Có khả năng biên dịch thông tin kỹ thuật thành ngôn ngữ kinh doanh dễ hiểu.
Kiến thức về quyền riêng tư và bảo mật dữ liệu: Hiểu về quyền riêng tư và bảo mật dữ liệu, đặc biệt là trong ngành ngân hàng, và tuân thủ các quy định liên quan đến nó.
Sử dụng công cụ phân tích dữ liệu: Có kiến thức về các công cụ, hoặc công cụ phân tích dữ liệu do ngân hàng sử dụng
Your skills and experience
Tốt nghiệp ĐH trở lên chuyên ngành: Khoa học dữ liệu, Khoa học máy tính, CNTT, Toán học ứng dụng, hoặc chuyên ngành khác liên quan;
Thành thạo các ngôn ngữ truy vấn CSDL như SQL và NoSQL .
Kiến thức về lập trình lưu trữ, xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, ElasticSearch, Kafka, …)
Kiến thức xây dựng, tối ưu luồng xử lý dữ liệu (batch processing, stream procesing, …);
Có chứng chỉ quốc tế về Data Enginner (AWS, CCA, CCP, IBM Certified Data Engineer, Google Professional Data Engineer …) là một lợi thế
Hoặc có các kiến thức sau
Kiến thức về xác suất thống kê, đại số tuyến tính, lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị, cơ sở dữ liệu, mô hình học máy decision trees, linear regression, ensemble (random forest, boosting tree), k-means, SVM, PCA…;
Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis - EDA);
Kỹ năng sử dụng thành thạo một trong các package học máy (scikit-learn, TensorFlow, Keras, PyTorch, Pyspark MLlib, …);
Kỹ năng sử dụng ngôn ngữ lập trình (Python, Java, Scala, R, …), SQL, các thư viện Pandas, Numpy
Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình.
Có kiến thức về học sâu, mạng neural nhân tạo, các kiểu mạng MLP, CNN, LSTM, RNN là một lợi thế
Có kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, …) là một lợi thế;
Why you'll love working here
Thời gian làm việc: 8 - 17h từ thứ 2 - thứ 6
Mức lương cạnh tranh
Mua bảo hiểm VBI

VietinBank

Trở thành Tập đoàn tài chính ngân hàng dẫn đầu VN ngang tầm khu vực, hiện đại, đa năng, hiệu quả cao
Company type
Product
Company size
1000+ employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT"
