,title,date,company,company_link,location,type-salary,description
0,"Brand Manager
- job post","Employer
Active 4 days ago",DinCox Shoes,https://jobs.vn.indeed.com/cmp/Dincox-Shoes?campaignid=mobvjcmp&from=mobviewjob&tk=1hftge86fk3su800&fromjk=4963c1f9b4ce810e,Thành phố Hồ Chí Minh,"25,000,000 VNĐ - 35,000,000 VNĐ a month","We are looking for an experienced Brand Manager to develop and implement marketing activities that increase brand value, awareness and market share. As a Brand Manager you will work closely with different teams to create and execute marketing initiatives that resonate with the target market and increase sales. You will also be tasked with developing budgets, forecasting sales figures and assessing KPIs and ROI.
To be successful as a Brand Manager, you should have a good understanding of consumer behavior, be up-to-date on market trends and continuously monitor competitor activity. You will also be responsible for conducting research, analyzing data, developing go-to-market strategies and reporting on brand performance.
Responsibilities:
Researching and analyzing consumer behavior, market trends and competitor activity.
Establishing budgets, performance specifications and sales estimates.
Developing and implementing strategies that resonate with the target market.
Planning and executing marketing initiatives including campaigns, events, sponsorships and corporate social responsibility programs.
Building brand awareness and increasing brand value and profitability.
Increasing product sales and market share.
Measuring and reporting on campaign performance and assessing KPIs and ROI.
Overseeing the production of advertisements, promotional materials.
Ensuring that messaging and marketing activities are aligned with brand and company values.
Requirements:
Degree in business, marketing or related field.
4 years of experience in developing brand and marketing strategies.
Good communication skills, both verbal and written.
Previous experience in managing and leading teams.
Budget management skills.
Strong research and analytical skills
Job Type: Full-time
Salary: 25,000,000₫ - 35,000,000₫ per month"
1,"Data Engineer
- job post","Posted
Today",Vinova Pte. Ltd,https://jobs.vn.indeed.com/cmp/Vinova-Pte?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgeblgkntu80p&fromjk=8bbf8a505d65e092,Ðà Nẵng,,"REQUIRED
At least 3 years of experience in Data Engineering
Good communication in English
Degree in Computer Science or related field
Experience with designing database structures
Analytical mindset and good problem-solving skills
Good organizational skills
Ability to work both independently and as part of a team
Strong knowledge of Linux/Unix operating system and command line (bash script)
Proficiency in programming languages, databases: (Python or Java), SQL, PostgreSQL, MySQL and building and maintaining ETL workflows
Proficiency in writing clean and well-tested code
Solid experience in software design, modeling, web scraping and data crawling, cleaning, integration, processing, and analysis.
Experienced with tools like Docker, Conda, Singularity, and Elasticsearch, Airflow and how to use ci/cd tools to include custom compiled code if needed
Familiar with distributed computing engines (Spark, Trino, Presto, Flink) & streaming processing (Flink, kafka)
PLUS
Deep understanding of data formats, data lake abstractions and optimizations to ensure best performance at query stage (partitioning, bucketing, file sizes and how this relates to concurrency that can be achieved)
Keen eye on data quality, data lineage and documenting data with a focus on creating a self service environment for data scientists to explore data independently where needed
Feature engineering experience from previous data science jobs, help data scientist with optimizing compute and to act as a guide for what is possible when data volumes are high or skew in distribution
SKILLS:
Ability to quickly learn and adapt to new technologies, tools, or programming languages
Strong problem-solving skills for high-tech applications
Excellent team collaboration and communication skills
Ability to work independently and handle pressure effectively
Strong desire to bring positive values to the community
Why you will love working here:
Nice and friendly working environment.
Competitive salary with multiple bonus schemes
Lots of interesting and challenging projects to work on.
13th-month salary benefits
Chance to work onsite abroad
We have a fun, Silicon Valley-style startup culture that values openness, fun, and awesomeness.
Attractive salary and annual salary review.
Provide devices for work.
Chance to become the leader of startup culture.
A fun, awesome work environment with multiple exciting bonus schemes
Progressive and international working environment.
Exciting company activities.
Free in-house entertainment facilities (football), coffee, and snacks (instant noodles, cookies, candies…)
Opportunities:
Direct coaching from top management
Chance to work overseas based on the request from client
Chance to improve technical skills while working with clients on new technology, and exciting workshops and seminars.
Chance to become leader of a dynamic and growing company.

Why you will love working here:
Competitive salary with multiple bonus scheme
Annual 13th month salary
Chance to work onsite abroad
We have a fun, Silicon Valley style startup culture that values openness, fun and awesomeness.
Attractive salary and annual salary review.
Provide devices for work.
Chance to become leader of a startup culture.
A fun, awesome work environment with multiple exciting bonus scheme
Progressive and international working environment.
Exciting company activities.
Opportunities:
Direct coaching from top management
Chance to work overseas based on the request from client
Chance to improve the technical skill during working with clients on new technology, and exciting workshops, seminars.
Chance to become leader of a dynamic and growing company.
Don’t be intimidated.
The least you can do is to write us a nice email (please send directly to hr@vinova.sg) explaining why you want to work with us and why you think you’d be a good candidate.
All positions (Full-time, Part-time, Intern) are available."
2,"Engineer/Project and Facilities Manager
- job post","Employer
Active 3 days ago",Shrimp Improvement Systems,https://jobs.vn.indeed.com/cmp/Shrimp-Improvement-Systems-LLC?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgeekek3sq800&fromjk=a65b19651cc13951,Bình Thuận,,"Position Status: Full-time
Position Level: 2
Reports To: Director/General Manager
Location: Binh Thuan Province, Vietnam
Organization Description:
Founded in 1998, Shrimp Improvement Systems (SIS) produces genetically improved and Specific Pathogen Free P vannamei shrimp broodstock. The organization consists of a Nucleus Breeding Center, production tanks, hatchery and administrative buildings, and has proven to be ideal for both shrimp breeding and broodstock multiplication. Shrimp Improvement Systems is one of the leading producers of SPF vannamei in the worldwide shrimp aquaculture industry.
Job Description:
As a key member of the SIS Vietnam team, the Civil Engineer/Facilities Manager is an essential in the development of the facility. This position is responsible for the execution of all projects on time, in budget and scope, while making sure that all legal obligations/requirements are met to include, but not limited to, building codes, certificates, etc. It is important to achieve these objectives while ensuring the highest quality and best practices. Key role include focus on the costs, communication with all stakeholders and team members, and planning adequate and accurate lead times to ensure a smooth building process. The position is responsible for supervising all contractors associated with the project to ensure plans are implemented as directed by the executive team, meeting all agreed upon benchmarks, alignment with the goals of the company, contributing to the development with technical solutions and meticulous planning, while continuously reporting project updates to the Director/General Manager and Executive team. This position must prepare procurement specs, engage in detailed design, and establish robust execution schedules. This position will oversee and evaluate risk assessment plans and foster proactive measures for risk reduction. As the project progresses, all systems must be tested and deemed in excellent working condition and prepared for the work to be done at the facility. Once the building project is completed, this position will shift into start-up functions such as developing essential documents for the operation of facility equipment and systems for employees that will be utilizing to ensure a seamless transition. This position will maintain ongoing responsibility for the maintenance of the facility and proper condition of all facility operations so that the facility functions at 100% all the time, maintaining the care and quality of the live animals. With shrimp farming constantly changing and new technologies and methods arising each year, it is the Civil Engineer/Facilities Manager’s responsibility to recommend practical solutions and apply these changes as agreed on and approved by the Director/General Manger. This position requires the ability to prepare budgets for new capital projects, acting as the project manager for such projects from inception through design and completion, managing the startup and installation for new equipment, etc. This position is responsible for the flow and coordination of communication across all company resources needed to achieve optimal planning and functioning; and to achieve all organization goals and outcomes on an on-going basis, supporting recommendations with data that specifically details the value added to the company in relation to the costs.
Supervisory Duties:
This role directs staff and/or supervisors in the maintenance department. The role is responsible for the overall direction, coordination, and evaluation of direct reports and for carrying out supervisory responsibilities in accordance with the organization’s policies and applicable laws. The Civil Engineer/Facilities Manager is expected to provide direct supervision, coaching, intervention and training to all direct reports in support of the staff and the overall organizational goals, mission and vision.
Essential Responsibilities and Duties during Facility Construction:
1. Perform all duties accurately and according to SIS Procedures and Protocols.
2. Develops in-depth knowledge of the contractual requirements for the project.
3. Oversees the construction to ensure adherence to approved drawings and specifications; inspects construction workmanship, materials, and equipment.
4. Oversees site work elements including water and sanity systems, site grading, concrete for vertical and horizontal construction, and architectural trades.
5. Monitors the work process, performs quality assurance testing, and enforces safety requirements.
6. Makes cost estimates on design changes, and evaluates cost proposals and contractors’ requests for adjustments.
7. Reports to the Director/General Manager on the project’s conformity and non-conformity to approved drawings and specifications; make recommendations on how to correct deficiencies and resolve problems during construction.
8. Maintains daily construction surveillance logs to ensure compliance with the terms and conditions of contracts.
9. On behalf of the owners’ interest, the Civil Engineer/Facilities Manager will be responsible for overseeing the work of contractors over the course of the project. The Civil Engineer/Facilities Manager tracks the contractor scheduled milestones; materials, equipment, and labor used; the quality and workmanship of outputs, provides the contractors, observations, recommendations, and supervision.
10. Monitors the construction schedule, reviews contractors’ proposals for change, and makes recommendations to Director/General Manager on time extension requests.
11. Reviews contractors’ invoices related to civil/structural works to ensure accuracy and completeness. Works with Finance Manger to ensure invoices are approved and submitted for payment in a timely manner.
12. Reviews and analyzes material samples, shop drawings, installation manuals, and other technical documents submitted by the contractors to ensure conformity with contract requirements.
13. Prepares written reports to Director/General Manager with analysis and recommendations on alternatives and actions, where appropriate.
14. Prepares periodic progress reports to Director/General Manager as required.
15. Prepares and reviews engineering drawings, civil load calculations, technical specifications, and cost estimates for construction change orders or to support installed equipment.
16. Makes cost estimates on design and specification alternatives as requested by Director/General Manager; must be able to present in two-dimensional and three-dimensional drafts to illustrate engineering problems and proposed solutions.
17. Liaises with local authorities responsible for the implementation, scheduling, and compliance with local building codes and construction regulations.
Essential Responsibilities and Duties Post Construction of New Facility:
18. Prepare and execute the departmental budget, review and monitor regularly and analyzes activities, costs, operations.
19. Forecast data to determine departmental progress toward stated goals and objectives; provide written reports as required with data to support conclusions.
20. Coordinates with Director/ General Manager and/or department managers to maintain/repair/upgrade facilities as recommended or needed to ensure that all systems are in optimal working condition at all times.
21. Provide daily supervision to employees through training, monitoring performance, coaching, handling disciplinary issues, conducting performance reviews and delegating day to day activities and assignments.
22. Maintain confidentiality of company proprietary information.
23. Perform other duties as needed or directed by the Director/General Manager or designee.
Required Competencies:
1. Analytical
2. Job Knowledge
3. Use of Technology
4. Problem Solving
5. Project Management
6. Communication
7. Cooperation
8. Teamwork
9. Change Management
10. Performance Coaching
11. Leadership, team and visionary
12. Managing People
13. Delegation
14. Quality Management
15. Conflict Resolution
16. Impact and Influence
17. Cost Consciousness
18. Diversity
19. Ethics
20. Strategic Thinking
21. Adaptability
22. Achievement Focus
23. Dependability
24. Initiative
25. Innovation
26. Judgement
27. Planning/Organizing
28. Quality
29. Quantity
30. Safety and Security
Required Education and Experience:
1. An engineering degree (civil or mechanical, with a priority on electrical knowledge and experience) from a reputable university in Vietnam.
2. Minimum 2 years’ experience in managing construction projects, including managing budgets, workers and vendors.
3. Fluent in speaking, reading and writing in English and Vietnamese.
4. Ability to travel and be stationed in remote areas.
5. Minimum 2 years management/supervisory experience.
Preferred Education and Experience:
1. Educational training specifically related to aquaculture.
2. Experiences in maintenance engineering.
Travel / Living Requirements:
1. Occasional travel, local, national and/or international, may be expected with this position.
2. Housing will be provided.
3. Applicant must reside in the location of the position.
Physical Requirements:
1. Ability to work at least 40 hours per week to include nights, weekends, holidays and/or on-call. Regular attendance is essential to carry out the duties of this position.
2. Ability to lift or carry up to 50 lbs.
3. Ability to work outdoors, doing physical work in hot temperatures, often on wet and/or uneven surfaces; and sitting/standing for long periods of time.
4. Working conditions may also include getting into the tanks and working in wet conditions with the animals.
5. Ability to work with chemicals such as bleach and acid, while following all safety guidelines.
6. Ability to complete administrative related work such as project design, preparing cost estimates, etc.
Shrimp Improvement System offers a benefits package.
Contact Information:
All interested candidates should send a cover letter, resume, and names and contact information for three professional references. If you have a college degree, please include a copy of your transcripts.
Job Types: Permanent, Full-time
Application Question(s):
Must reside in the job location.
Language:
Speak/Read/Write English (Required)"
3,"CS Data Entry
- job post","Posted
Posted 30+ days ago",SML Group,https://jobs.vn.indeed.com/cmp/Sml-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgejhh2ggj000&fromjk=408a5ccda625ecca,Việt Nam,,"Responsibilities
Input order to EP, AX system
Arrangetrimcards, sample for CS
Support CS with manual things
Qualifications
Minimum 1 year relevant working experience
Experience on Order Entry
Skills and Personal Quality
Skills of computer access (Internet, Microsoft (Word, excel,..))
Speed of keying"
4,"Data Scientist (Analytics), Vietnam
- job post","Posted
Posted 30+ days ago",Grab,https://jobs.vn.indeed.com/cmp/Grab?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgemefk451800&fromjk=7db435dd481b36a7,Thành phố Hồ Chí Minh,,"Job Description:
Life at Grab
At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.
Get to know the Team
Grab - the leading super app in Southeast Asia - combines transport, food delivery, logistics, payments, and much more in a single platform. The Country & Marketing Analytics team helps the organisation by analysing in each of our countries our past operations and marketing initiatives, deciphering the impact on our business, our brand and our users, to augment the outcome of future initiatives.
Get to know the Role
The team works closely with various teams in Grab - Business, Operations, Marketing but also Engineering, Product and other Data teams, to understand data requirements, identify and track key metrics, and provide data-driven solutions that are tailored and relevant to always-evolving innovation in our markets.
The Day-to-Day Activities
Be involved into the business to understand all aspects of our marketplace and marketing in countries
Conduct in-depth analysis and provide insights based on business needs
Develop data-driven solutions such as reports, toolkits, dashboards, models and analytical frameworks to help further stakeholders decisions
Support a broad range of projects related to automation, scalable measurement and Analytics efficiency
Shape the development of our data infrastructure including data warehousing, optimisation and maintenance of our analytics platforms
Provide support and training to stakeholder teams on analytical insights, tools and methodologies
The Must-Haves
Some Analytics experience and a strong business acumen, preferably in the e-commerce or internet industry.
Bachelor’s degree in Statistics, Analytics, Mathematics, Engineering or other quantitative subjects
Advanced knowledge of analytical tools such as database querying (SQL, Presto, Hive), visualisation and reporting tools (Tableau, PowerBI, Holistics) and programming languages (Python, R) Strong ability to work with large and complex data sets
Fast-learner, versatile, self-driven, detail-oriented and collaborative
Excellent communication skills to translate analytics specificities for all audiences
Full professional working proficiency in English [and in Local Language] is required
Our Commitment
We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique."
5,"Freelance AI/ML Engineer
- job post","Posted
Posted 30+ days ago",Drcom Group,https://jobs.vn.indeed.com/cmp/Drcom-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1hftges8dkntg800&fromjk=81dac6a31096f690,Việt Nam,,"Vietnam
Freelance
Location: Anywhere
Level of management: Freelancer
Job Information
We are seeking an experienced AI/ML Developer to build and implement functional programs with an emphasis on machine learning and artificial intelligence. You will work with other Developers and Data Scientists throughout the software development life cycle.
Location: Vietnam
Level of management: Executive.
We are seeking an experienced AI/ML Developer to build and implement functional programs with an emphasis on machine learning and artificial intelligence. You will work with other Developers and Data Scientists throughout the software development life cycle.
Key duties will be
Job Requirements
Designing AI/ML model architectures
Developing new prototypes, concepts, and models
Implementing machine learning algorithms and libraries
Conducting machine learning experiments and tests
Implementing appropriate ML algorithms
General:
Proven experience as an AI Specialist or similar role
Understanding of machine learning frameworks (like Keras or PyTorch) and libraries
Proficient in Python and Java
Ability to write robust and testable code
Strong communication skills.
Have experience working with HuggingFace platform, such as training custom model, fine-tuning and using pipelines"
6,"Data Labeling Collaborator
- job post","Posted
Posted 30+ days ago",Zalo,https://jobs.vn.indeed.com/cmp/Zalo?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgf2jmk451801&fromjk=c7d83857a3867264,Thành phố Hồ Chí Minh,,"What you will do
Identify and label objects or features in images, text, video and audio files;
Follow instructions carefully and accurately;
Work independently and as part of a team;
Communicate effectively with team members and stakeholders.
What you will need
Being careful and meticulous;
Good communication and teamwork;
Accuracy, attention to details;
Personal laptop or PC to work remote."
7,"QC staff
- job post","Posted
Posted 30+ days ago",Cargill,https://jobs.vn.indeed.com/cmp/Cargill?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgf6r7k3rh800&fromjk=65fc775febed704f,Thừa Thiên - Huế,,"Want to build a stronger, more sustainable future and cultivate your career? Join Cargill's global team of 160,000 employees who are committed to safe, responsible and sustainable ways to nourish the world. This position is in Cargill’s animal nutrition and health business, where we improve lives through better nutrition. Our team researches, innovates and creates solutions that deliver healthy results for our customers.
Job Purpose and Impact

The QC Staff will complete complex analytical and laboratory testing in support of the food safety quality and operational teams. In this role, you will perform complex analysis of product testing, be responsible for checking and monitoring instrumentation performance, conduct tests and document results into databases and communicate test results. Key Accountabilities

Perform routine analysis on final and in process products and ensure that finished products meet required specifications prior to releasing shipments.
Enter data into databases and communicate results verbally or in writing, resolve problems by examining and evaluating data and select corrective steps.
Assists with the evaluation and interpretation of highly complex data, identifies problems with atypical test results consulting with upper level personnel
Support trials and experiments under the direction of more senior team members.
Perform food safety and quality leadership, coaching and mentoring to facility employees.
Handle complex clerical, administrative, technical or customer support issues under minimal supervision, while escalating only the most complex issues to appropriate staff.
Other duties as assigned Qualifications
Minimum Qualifications
High school diploma, secondary education level or equivalent
Possesses proven working knowledge of laboratory instrumentation
Minimum of four years of related work experience
Other minimum qualifications may apply Preferred Qualifications
Bachelor's degree
Minimum of three years of experience within a laboratory or food manufacturing environment
Working knowledge of ISO 22000 accreditation's or standards"
8,"Data Analyst (US Startup/Large dataset)
- job post","Posted
Posted 29 days ago",Flodesk,https://jobs.vn.indeed.com/cmp/Flodesk?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgfcldk3qh800&fromjk=f0e528d0c537be27,Ðà Nẵng,,"Flodesk

272 Tran Hung Dao, Son Tra, Da Nang
Tran Hung Dao street, An Hai Tay, Son Tra
At office
Posted 29 days ago
Skills:
SQL
PostgreSql
Data Analyst
Top 3 reasons to join us
Fast-growing startup
Product that is transforming the industry
Dynamic team with great company culture
Job description
Flodesk, the world’s fastest-growing email marketing startup, is looking for a Data Analyst to join our engineering team in Danang. As our data analyst, you will be part of a fast-paced, high-energy, global team passionate about making small business owners more successful through good marketing and design. This is an excellent opportunity to join a diverse, dynamic team with great company culture.
Who we are:
Flodesk was founded in 2019 to bring creativity and simplicity to the email marketing space. Flodesk makes it easy to build on-brand marketing emails, forms, and workflows and is used by over 50,000 beginners and experts around the world. We are a remote-first company based in San Francisco, CA, with a global team.
The engineering office is situated in the heart of Danang, providing a beautiful space for creativity and collaboration between team members.
Headquarters: San Francisco, CA, United States
Engineering Office: Danang, Vietnam

What you will do:
Communicate directly and regularly with members of the Flodesk business team to deeply understand our business needs from a data + information standpoint
Work closely with our engineering team to build ELT pipelines and processes to ingress data from various sources
Define the general and business-focused schemas of data objects
Work closely with our CEO and business team to develop a self-service business intelligence system. This includes dashboards, exploratory reports, and potentially using multiple tools (BI tools, internal report system, etc.) to achieve the desired results
Continuously analyze and present data that yield important insights about customer behavior, usage patterns, and ways we can creatively experiment with our platform to improve results
Your skills and experience
Key Requirements:
At least 2 years of experience handling large data sets (multiple TBs)
Experience in effectively maintaining confidential & highly sensitive information
Practical Root-Cause-Analysis skills to analyze business problems and propose actionable solutions
The ability to write challenging SQL queries that operate efficiently
Exceptional communication and presentation skills in both written and verbal English
Why you'll love working here
We are a profitable, fast-growing startup with a product that is transforming the industry. We value creativity, hard work, human connection, diversity, and being a great place to work!
Attractive Salary + 13th-month bonus
Performance bonus based on company's OKR
Stock options for high contribution
Personal Development Package (up to $1000/ year)
Premium healthcare insurance
Flexible working time
Five-day workweek (From Monday - Friday)
Professional equipment (Macbook Pro/ external screen)
Opportunities for advanced career development overseas

Flodesk

Design emails people love to open
Company type
Product
Company size
1-50 employees
Country
United States
Working days
Monday - Friday
Overtime policy
No OT"
9,"Internship, Data & Analytics Office
- job post","Posted
Posted 30+ days ago",HSBC,https://jobs.vn.indeed.com/cmp/HSBC?campaignid=mobvjcmp&from=mobviewjob&tk=1hftgfgs2h0jc800&fromjk=7fce2e477f4d4e7e,Thành phố Hồ Chí Minh,,"Job Advert Details

Some careers grow faster than others.
If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.

Digital Business Services (DBS) is a pivotal part of the Group, providing essential operational and technical support to our global businesses and helping improve customer service and efficiency. Digital Business Services combines global expertise and technology to help keep us ahead of the competition.

We are currently seeking a high calibre professional to join our team as an Internship, Data & Analytics Office.

Principal responsibilities:
Consolidating information from various sources, chasing sources to obtain the information on time
Deck preparations and reports for what the COE cannot handle
Research into tecnical solutions, topics
Assistance in logistics for small events / engagements
Assist in project coordination, and simple project tasks.
Qualifications
Requirements:

Students with Letter of Recommendation/Introduction for the internship period from Universities/Educational Institutions.
Ability to intern full-time from 6 to 9 months.
Computer skilled: knowledge of building dashboard using BI tools (e.g. PowerBI, Qlik), MS Office (Word, Powerpoint, Excel), and be able to use VBA and Python.
Good communication (VN & EN) skills and teamwork spirit
High energy and can-do attitude; ambitious and willing to take challenges.
Knowledge in Data Science or Computer Science is an asset.

You’ll achieve more when you join HSBC.

http://www.hsbc.com/careers

HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

Issued by The Hongkong and Shanghai Banking Corporation Limited"
