,title,date,company,company_link,location,type-salary,description
0,"Marketing Staff [ Quận 1 - HCM ]
- job post","Posted
Posted 30+ days ago","ICONIC Co,.Ltd.","https://jobs.vn.indeed.com/cmp/Iconic-Co.,-Ltd.-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6davkdk3su800&fromjk=a35efd10f755a5bc",Thành phố Hồ Chí Minh,,
1,"Marketing & Communications Intern
- job post","Posted
Posted 12 days ago",ABB,https://jobs.vn.indeed.com/cmp/Abb?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6db3ft2ggj000&fromjk=d5083479d0ff8c19,Hà Nội,,"Marketing & Communications Intern
Take your next career step at ABB with a global team that is energizing the transformation of society and industry to achieve a more productive, sustainable future. At ABB, we have the clear goal of driving diversity and inclusion across all dimensions: gender, LGBTQ+, abilities, ethnicity and generations. Together, we are embarking on a journey where each and every one of us, individually and collectively, welcomes and celebrates individual differences.

As a Marketing & Communications Intern for Electrification business, you will be responsible for supporting staff communications team in document administrative tasks and other event organizing tasks. Reporting to Communications Manager, you will be producing and drafting presentations, word docs and excel sheets on requested content, including graphic designing. This position is based in Hanoi, Vietnam.
Your responsibilities
Supporting team in translating media releases, internal and external news reports, articles, memos, news and other necessary document
Searching and mentoring relevant information of market including GDP, CPI, and another index
Supporting the Communications Manager with collecting information, data, following up with relevant stakeholders for needed inputs
Supporting with internal and external events organizing work, which includes working with vendors and relevant stakeholders, booking, arranging meetings, calls, logistics arrangements
Other duties as assigned
Your background
Senior Students or fresh graduates holding university degrees in communication/marketing/journalism or related majors
Accumulative GPA is minimum at 7.0/10 or 2.5/4.0
Good teamwork and interpersonal skills
Able to take initiatives, and willingness to grow in the organization
Good English translating & speaking skills
Benefits
Accident insurance
Transportation Allowance
More about us
ABB Smart Power is a global technology leader, with products and solutions that make power supplies smart, connected and protected. Its intelligent products and solutions make power more competitive by improving the energy efficiency, productivity and reliability of almost any operation. We look forward to receiving your application (documents submitted in English are appreciated). If you want to discover more about ABB, take another look at our website www.abb.com. Recruitment Agencies please be aware that this role is being managed by the internal ABB Talent team directly. We will reach out to our preferred agency partners should we require support. Your adherence to our process is appreciated Work model: hybrid #LI-hybrid"
2,"Tuyển dụng Vị trí: Nhân viên Marketing (Marketing Executive)
- job post","Posted
Posted 2 days ago",Amigo,https://jobs.vn.indeed.com/cmp/Amigo?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6db88ok451800&fromjk=f88647c763b1823b,Hà Nội,,"1. MÔ TẢ CÔNG VIỆC
Xây dựng kế hoạch cho các hoạt động Marketing theo tháng/quý/năm;
Phối hợp cùng các bộ phận liên quan để triển khai kế hoạch, giám sát, đo lường và đánh giá hiệu quả các hoạt động Marketing;
Quản lý và phát triển các kênh thông Fanpage và các các kênh Social media của Công ty;
Xây dựng và duy trì mối quan hệ với khách hàng, đối tác. Đầu mối làm việc với các Marketing Agency.
Đề xuất các hoạt động Marketing sáng tạo phù hợp với mục tiêu kinh doanh của Công ty, góp phần nâng cao hình ảnh của Công ty.
2. YÊU CẦU
Kinh nghiệm làm Marketing trong lĩnh vực IT là một lợi thế;
Tốt nghiệp Đại học, cao đẳng chuyên ngành Marketing, Quảng cáo, PR,…;
Kiến thức cơ bản về kinh doanh, Marketing và công nghệ;
Sử dụng thành thạo các phần mềm thiết kế đồ họa (Photoshop, Illustrator, Canva…) là 1 lợi thế;
Kỹ năng viết bài PR/Marketing chuyên nghiệp là 1 lợi thế;
Kinh nghiệm lên kế hoạch và tổ chức các sự kiện, hội thảo, …;
Giỏi kỹ năng giao tiếp, thuyết trình và làm việc nhóm;
Tiếng Anh viết và giao tiếp tốt (TOEIC 600 trở lên hoặc tương đương);
Chủ động, sáng tạo và có tinh thần trách nhiệm cao.
3. CHÍNH SÁCH ĐẠI NGỘ
Trở thành thành viên AMIGO bạn không chỉ được đảm bảo đầy đủ các chế độ phúc lợi BHXH, BHYT, BHTN, ngày nghỉ phép, lễ tết đầy đủ và trọn vẹn mà còn được hưởng chính sách Thu nhập và Đãi ngộ cạnh tranh trên thị trường, được làm việc trong môi trường chuyên nghiệp với những đồng nghiệp trẻ trung, nhiệt huyết, luôn đoàn kết, yêu thương và chia sẻ để mỗi ngày làm việc là một ngày hạnh phúc vì được cống hiến và phát triển.
+ Gói thu nhập hấp dẫn lên đến 17 tháng lương/năm.
+ Các chế độ ưu đãi đặc biệt cho cấp quản lý.
+ Các hoạt động khen thưởng định kỳ (tháng/quý/chương trình/ thành tích đặc biệt) như: “Man of the month”, “Ngôi sao sáng tạo”, Nhân viên/ team/ bộ phận/ phòng ban xuất sắc; Thưởng khi hoàn thành các khóa đào tạo/chứng chỉ chuyên môn… theo quy chế của công ty;
+ Bảo hiểm sức khỏe toàn diện hàng năm;
+ Thưởng các dịp Lễ, Tết, Sinh nhật…;
+ Chế độ nghỉ mát/ Innovation/ Teambuilding hàng năm;
+ Gói Khám sức khỏe định kỳ lên đến 2.500.000 VNĐ/người/năm;
Thời gian, địa điểm làm việc:
Thời gian làm việc: Từ thứ Hai đến hết thứ Sáu hàng tuần (Nghỉ thứ Bảy, Chủ nhật).
Địa điểm: P501, tầng 5, Tòa nhà IPH, 241 Xuân Thủy, phường Dịch vọng Hậu, Cầu Giấy, Hà Nội.
Thông tin ứng tuyển:
Hồ sơ xin việc gồm
CV Các văn bằng, chứng chỉ liên quan.

Thông tin liên hệ
Ms Mai Điện thoại/Zalo: 0966.261.290 Email: mai.dt@amigo.vn"
3,"Nhân Viên Social Marketing
- job post","Posted
Posted 27 days ago",JobsGO Recruit,https://jobs.vn.indeed.com/cmp/Jobsgo-Recruit?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbb2fkntu800&fromjk=f1457e1af56245c9,Hà Nội,"8,000,000 VNĐ - 12,000,000 VNĐ a month","Mô tả công việc:
(Mức lương: 8 - 12 triệu VNĐ)
Xây dựng chiến lược, sáng tạo nội dung để phát triển hệ thống Social (Facebook, Instagram, Youtube, Linkedin,..).
Lên kế hoạch, sản xuất, biên tập, xuất bản và chia sẻ các nội dung tương tác hàng ngày trên hệ thống mạng xã hội của công ty.
Theo dõi, nghiên cứu và phân tích hoạt động của các đối thủ cạnh tranh trên các kênh Social.
Thu thập, phân tích số liệu và insights của người dùng trên các mạng xã hội để có tối ưu hợp lý.
Báo cáo, phân tích hiệu quả công việc theo campaign/ tuần/ tháng để đánh giá hiệu quả và có đề xuất phù hợp cho hệ thống Social.
Phối hợp với các phòng ban khác để thực hiện công việc theo yêu cầu của cấp trên.
Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Lương cứng: 8.000.000 -12.000.000 VNĐ + Thưởng
Các loại bảo hiểm mặc định BHXH, BHYT, BHTN và Bảo hiểm sức khỏe mở rộng
Cơ hội phát triển bản thân với các cơ hội tham gia các hoạt động đào tạo nâng cao trình độ
Được training on job và được luân chuyển sang các vị trí khác để học tập và phát triển hơn.
Lộ trình phát triển rõ ràng.
Môi trường làm việc thoải mái, khuyến khích sự sáng tạo và tư duy làm chủ.
Được trao quyền để thử sức với mọi ý tưởng và phát triển bản thân tối đa.
Tham gia BHXH, BHYT sau 2 tháng thử việc.
Phụ cấp bao gồm: hỗ trợ phí gửi xe hàng tháng, hỗ trợ ăn trưa, …
Hưởng các chế độ, chính sách phúc lợi của Công ty như dịp Lễ, Tết dương lịch, thâm niên, sinh nhật, ốm đau, hiếu hỷ, …
Yêu cầu bằng cấp (tối thiểu): Đại Học
Yêu cầu công việc:
Ứng viên có kinh nghiệm 1-2 năm từng làm vị trí tương tự ở các trung tâm đào tạo Tiếng Anh, Toán, kỹ năng mềm cho trẻ em sẽ là một lợi thế lớn
Tốt nghiệp đại học chuyên ngành Báo chí, Marketing, PR hoặc các chuyên ngành liên quan.
Có 1 năm kinh nghiệm tại vị trí Chuyên viên Social Media hoặc các vị trí tương đương.
Có kinh nghiệm và kiến thức trong việc quản lý các kênh Social Media.
Có khả năng tiếng anh là một lợi thế.
Có hiểu biết căn bản về Marketing, công cụ Marketing.
Có khả năng viết nội dung và giao tiếp tốt.
Năng động, sáng tạo, nhiệt tình.
Có khả năng sử dụng phần mềm thiết kế hoạch edit video
Chủ động, sáng tạo trong công việc.
Chịu được áp lực cao, nhiệt tình, có trách nhiệm.
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: Nội Dung,Quảng Cáo/Marketing,Social Marketing

Đại Học
1 - 2 năm"
4,"Marketing Executive/ Brand Executive (Experienced,Hanoi)
- job post","Posted
Posted 5 days ago",Công ty cổ phần Diana Unicharm,https://jobs.vn.indeed.com/cmp/C%C3%B4ng-Ty-C%E1%BB%95-Ph%E1%BA%A7n-Diana-Unicharm?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbduvkntg802&fromjk=b7db532a350126a9,Hà Nội,,"Mô tả công việc:
(Mức lương: 12 - 22 triệu VNĐ)
Directly report to: Brand Manager & Japanese Manager (Head of Consumer Marketing).
Working with research agencies to to conduct marketing research projects, monitoring marketing trends and identifying potential areas;
Conceptualizing thematic marketing campaigns;
Coming up with ideas for new package designs of products;
Supervising the sign off of marketing literature and campaigns, liaising with legal and compliance personnel;
Monitoring product distribution and consumer reactions through focus groups and market researches;
Coordinating the launch program to external as well as internal employees;
Competition tracking and benchmarking;
Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Salary & Bonus: Attractive, competitive.
Performance Appraisal: Every year & the other salary adjustment/increase according to the Company policy.
Opportunity to work in a strong global Corporation with dynamic and professional working environment and many chances for training and development.
Working hour: from Monday to Friday; Annual leave: 12 days /year, after 2 working years extra 2 days (officer level) & 3 days (manager level).
Free lunch served at Company canteen, daily tea-break…
Team building & Company activities: monthly/quarterly team building, New Year Party, Summer holidays, sports activities: Football, Yoga, Ping-pong, badminton…
Insurance Benefits: Compulsory Insurance (social, health, unemployment insurance), Personal Accident Insurance, Health Care Insurance.
Other benefits: 20/10; 8/3 Gifts, , Birthday Gift, using company products, Annual heal check, other benefits (travel & transportation, telephone, business trip...) according to the Company policy.
Yêu cầu bằng cấp (tối thiểu): Đại Học
Yêu cầu công việc:
JOB REQUIREMENT:
Workplace: Head Office of Diana Unicharm JSC, Linh Nam str, Hoang Mai, Ha Noi
Bachelor Degree, Master Degree from Marketing, Commerce, Economic, Business, ,Advertising/Media, Mass Communications or equivalent ..
From 1-2 years of Experience in Marketing (FMCG sector is an advantage).(Bonus point for: Hands-on experience of on ATL, BTL, Events, meetings, Outdoor and other promotional activities; Understand creative designing; Coordination with agency and vendors...;)
Good analytical skills, Creative, positive;
Very good oral & written Vietnamese and English (equivalent to Ielts 6.0 and up);
Good interpersonal skills; Able to work independently and as part of a team.
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: Quản Trị Thương Hiệu (Branding),Quảng Cáo/Marketing,Truyền Hình/Báo Chí,Truyền Thông/PR

Đại Học
1 - 3 năm"
5,"Marketing Intern
- job post","Posted
Posted 26 days ago",Rikkeisoft,https://jobs.vn.indeed.com/cmp/Rikkeisoft?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbgrbh0go800&fromjk=b5976ec76b7e1e8a,Hà Nội,,"Địa Điểm
Hà Nội
Trình Độ
Fresher
Mức Lương
$100
Ngày Hết Hạn
01/12/2023
Mô Tả Công Việc
Execute comment seeding on LinkedIn, engage with trending content or content from influential accounts Produce compelling LinkedIn posts to trigger conversations and boost visibility Assist with the publication of other marketing materials
Yêu Cầu
Strong writing and editing skills in English Good research and analytical skills A strong desire for learning and growth Interested in B2B marketing
Quyền Lợi
Opportunity to become a fulltime staff based on the intern’s performance Working in a friendly, supportive and challenging environment where English is commonly used Internship allowance: $100/month Working hours: either 8.30am to 12pm or 13.30pm to 17pm at the office, from Monday to Friday Job Type: Parttime Internship Contract length: 3 months"
6,"Social Media Marketing
- job post","Posted
Posted 5 days ago",Công Ty TNHH Ecohub,https://jobs.vn.indeed.com/cmp/C%C3%B4ng-Ty-Tnhh-Ecohub?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbl2vh0jc800&fromjk=2d3797cc8faaa597,Hà Nội,"5,000,000 VNĐ - 15,000,000 VNĐ a month","Mô tả công việc:
(Mức lương: 5 - 15 triệu VNĐ)
Lên ý tưởng và sản xuất các nội dung truyền thông bao gồm: short video, bài PR, website, fanpage, landing page, content quảng cáo….-
Tham gia xây dựng big idea, key visual, viết slogan, tagline, đưa ra các định hướng chiến lược cho các chiến dịch marketing.
Sáng tạo nội dung, lên ý tưởng kịch bản trên các kênh Tiktok, reels và các video quảng cáo
Phối hợp quay clip và chỉnh sửa clip video đăng Tiktok, reels và các nền tảng quảng cáo khác
Liên hệ làm việc cùng các KOLs / KOCs trên Tikkok
Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
- Mức lương cạnh tranh (từ 5 - 15 triệu) phù hợp với năng lực
Môi trường làm việc trẻ trung, năng động, thoải mái
Tăng lương định kỳ phù hợp với khối lượng & chất lượng công việc
Được tham gia BHXH, nghỉ lê t̃heo quy định của nhà nước
Yêu cầu bằng cấp (tối thiểu): Trung cấp - Nghề
Yêu cầu công việc:
Thành thạo các phần mềm edit video
Yêu cầu tốt nghiệp từ Trung cấp các ngành nghề liên quan
Thích tìm hiểu và thử nghiệm nhiều phong cách quay và edit video khác nhau
Nhanh nhẹn, biết lắng nghe, chịu khó học hỏi
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: Media Planning,Quảng Cáo/Marketing,Social Marketing

Trung cấp - Nghề
Không yêu cầu"
7,"Content Marketing-remote (nội thất/kiến trúc)
- job post","Posted
Posted 3 days ago",Vina Group,https://jobs.vn.indeed.com/cmp/Vina-Group?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbnuhk3su800&fromjk=a05be70f06e87d02,Hà Nội,"12,000,000 VNĐ - 15,000,000 VNĐ a month","Mô tả
- Lập kế hoạch content theo tháng
- Sản xuất content chi tiết cho các sản phẩm kiến trúc, nội thất hoàn thiện
- Sản xuất content phát triển thương hiệu, sản phẩm, thị trường
- Làm content social và content SEO Web
- Lên brief cho hình ảnh và kịch bản video
Yêu cầu kinh nghiệm
Khả năng delivery content tốt
Logic cao trong bố cục content
Gu thẩm mỹ tốt trong lĩnh vực kiến trúc
Khả năng sáng tạo, tỉ mỉ, khả năng miêu tả tuyệt vời, khả năng sử dụng từ chuyên ngành
Kinh nghiệm từ 1 năm làm việc với content trong lĩnh vực kiến trúc / nội thất
Lợi ích
Mức hợp tác hấp dẫn (12-15tr)
Chế độ lương thưởng của công ty (Lương cứng + bảo hiểm, Thưởng KPI, lương tháng thứ 13)
Thử việc 1 tháng, 80% lương
Thời gian, địa điểm làm việc linh hoạt
Loại hình công việc: Toàn thời gian
Lương: 12.000.000₫ - 15.000.000₫ một tháng
Câu hỏi tuyển dụng:
Anh/chị có kinh nghiệm content từ 1 năm mảng kiến trúc/nội thất không?
Kinh nghiệm làm việc:
content mảng kiến trúc/nội thất: 1 năm (Ưu tiên)"
8,"Marketing Data Analyst
- job post","Employer
Active 5 days ago","TRI7 Solutions, Inc.","https://jobs.vn.indeed.com/cmp/Tri7-Solutions,-Inc.-3?campaignid=mobvjcmp&from=mobviewjob&tk=1hg6dbqo9j6rm800&fromjk=505119c5b22aff64",Hà Nội,"25,000,000 VNĐ - 30,000,000 VNĐ a month","About the Role:
We are looking for someone who is curious, energetic, teamwork-oriented and has a willingness to elevate the performance of the team as a whole through an exceptional ability to research and turn data into insights. The Marketing Consumer and Data Analyst will help to develop and maintain dashboards, perform ad-hoc reporting based on business need, provide actionable insights based on data, and provide strategic support to the Marketing and Affiliate Teams. This position serves as an expert in digital marketing data sources, analysis and modeling. The ideal candidate will be able to manage multiple data sources and identify process improvements in how the data is tracked and reported.
The duties can be performed from any part of the world as long as you are ok to follow the Singapore time zone.
RESPONSIBILITIES:
· Consumer and Marketing Data Analytics
· Develop and implement data solutions and statistical models to improve the speed and effectiveness of business decisions
· Gather business requirements, design data structures, and develop code if needed to manage and report data using a diverse set of tools
· Collect, cleanse, analyze and provide data for digital marketing efforts Use data narratives and KPI’s to identify insights, trends, and business opportunities and effectively present these to stakeholders
· Interpret data and create ongoing and ad hoc report to interpret data and create ongoing and ad hoc reports Identify data and process improvement opportunities by monitoring existing metrics, analyzing data and partnering with internal teams as needed Develops data sets to enable self-service data analysis within the broader marketing organization
· Plan and implement marketing attribution models within a multi-channel advertising environment using data from Google, and other marketing automation software
REQUIREMENTS:
Critical requirements
· VN Nationality
· English language proficiency
· A minimum of 2 years experience working with digital marketing data in Online gambling or gaming industry
· Google Analytics knowledge
· Basic knowledge of search engine advertising tools (Google, Bing, Yahoo) and bid management systems (Adwords, DoubleClick, Search Ads 360, Google Analytics, Tag Manager etc.)
· Proficiency with Search Engine reporting tools (DoubleClick, Google Analytics, SEMRush, etc.)
· Advanced Excel/Google Spreadsheets/Data base capabilities
· Strong proficiency with Powerpoint/Google Slides
· Self-directed with a passion to continue to learn and grow, embracing the continuous improvement approach (define-measure-analyze-improve-control)
· Very strong teamwork orientation
· Ability to work with virtual, global teams across multiple time zones
· Strong project management skills
· Strong analytical skills
Desired but not required knowledge or capabilities
· Create and maintain data dashboards with visual software such as PowerBI/Google Data Studio using data from marketing platforms such as Google Analytics, Search Ads 360, Brightedge and other marketing data platforms.
· Previous experience in one of the following industries is a must:
-Gambling
-sports betting
-Mobile gaming
-E-sports
-Marketing processes understanding
· Amenable to Remote Work Permanently
Compensation:
VND25,000,000 to VND30,000,000
5days/week
12 days VL plus 7days VN Holidays
Job Type: Full-time
Salary: 25,000,000₫ - 30,000,000₫ per month
Experience:
Digital Marketing Data in Gaming Industry: 2 years (Preferred)
Language:
English (Preferred)"
9,"Business Marketing Executive
- job post","Posted
Posted 30+ days ago",SHB Finance,,Hà Nội,,"Nơi Làm Việc Hà Nội
Cấp Bậc Nhân viên
Hình Thức Nhân viên chính thức
Kinh Nghiệm 1 - 2 Năm
Mức Lương Lương thỏa thuận
Ngành nghề Bộ phận pháp lý, Bán hàng / Kinh doanh, Bán hàng và Kênh phân phối, Chiến lược và phát triển ngân hàng, Dịch vụ ngân hàng và Tài chính cá nhân, Ngân hàng giao dịch, Ngân hàng, Tài chính / Đầu tư
Hạn Chót Nhận Hồ Sơ 31/01/2024

Phúc Lợi
Bảo hiểm
Du Lịch
Phụ cấp
Thưởng
Chăm sóc sức khỏe
Đào tạo
Tăng lương
Công tác phí
Chế độ nghỉ phép
Mô Tả Công Việc
Goals
Build appropriate Marketing activities for each channel;
Implement marketing activities to support business according to the approved plan;
The focal point to coordinate work reliably, effectively and creatively with the Business Division with full performance measurement reports.
Main tasks, responsibilities
Work closely with product team to create and manage acquistion campaigns via various channels;
Tracking customer experiences across online and offline channels, devices, and touchpoints;
Aligning customer experience strategies with marketing initiatives. as well as informing customers about new product features and functionalities;
Identifying customer needs and taking proactive steps to maintain positive experiences;
Analyzing customer feedback on product ranges and new releases, as well as preparing reports;
Performing product tests, evaluating after-sales and support services, and facilitating improvements;
Building script for omichannels due to understanding customer jouney;
Analyze and optimize campaign performance based on data-driven insights and strategy. Track and report on key performance indicators of media activity;
Budget alocation and management.
Yêu Cầu Công Việc
Education: College degree or above majoring in Business, Marketing, Communication or related field.
Experiences: Minimum 2 years of experience in a similar position. Experienced in building relationships with business partners, serving Trade Marketing activities.
Understanding the company's products, services, and policies: Knowledge of banking and finance industry."
