,title,date,company,company_link,location,type-salary,description
0,"Mobile Developer Fresher
- job post","Posted
Posted 30+ days ago",SMARTOSC,https://jobs.vn.indeed.com/cmp/Smartosc?campaignid=mobvjcmp&from=mobviewjob&tk=1hg658u6vgm6h800&fromjk=98a4bd8deaf36724,Hà Nội,,"Job Description

– Tham gia đào tạo chuyên sâu 1-3 tháng về lập trình mobile (IOS, Android).
– Tham gia làm các dự án thương mại điện tử của các khách hàng quốc tế.
– Tham gia các dự án của công ty.
Requirements
– Sinh viên năm 3,4 hoặc đã tốt nghiệp trong chuyên ngành Công nghệ thông tin hoặc tương đương. Điểm trung bình xếp loại khá, giỏi.
– Có kiến thức về lập trình mobile (IOS, Android)
– Có khả năng tự học và làm việc nhóm.
– Có thể tham dự đào tạo full-time
– Tiếng Anh giao tiếp là một lợi thế
Benefits
– Cơ hội đào tạo chuyên sâu 1-3 tháng về lập trình mobile (IOS, Android)
– Được tham gia vào các dự án lớn về thương mại điện tử, khách hàng quốc tế.
– Được làm trong môi trường Văn hóa chuyên nghiệp, trẻ trung và năng độ
– Trợ cấp up to 6 triệu/tháng tùy thuộc vào kết quả học tập.
– Cơ hội lên nhân viên chính thức sau quá trình thực tập"
1,"MOBILE DEVELOPER
- job post","Posted
Posted 13 days ago",UNIT Corp,https://jobs.vn.indeed.com/cmp/Unit-Corp?campaignid=mobvjcmp&from=mobviewjob&tk=1hg65930qk450800&fromjk=670df732e11fd695,Việt Nam,,"UNIT Technology Corporation is looking to hire Junior Level Mobile Developer to join our expanding team in District 3, HCMC.
Career Progression UNIT Techology Corporation believes that our employees are our number one asset, as such we invest heavily in career progression, training and development and work life balance. Here at UNIT Technology Corporation we have created a culture of inclusion, honesty and progression. We understand the desire to move up the career ladder, at UNIT there is no limit, it does not matter where you start, you will always be on the way up at UNIT Technology Corporation.
Duties & Responsibilities
In charge of programming, error checking & reporting for line manager
Participate in big projects belongs to Banking, Finance & Insurance
Participate in developing projects on ReactJS & other technologies
Required Skills
At least 01 – 02 years of hands-on experience of native mobile app development in iOS (Objective-C, Swift) or Android (Java, Android SDK, Kotlin, Gradle).
Good knowledge object-oriented programming skills in Swift/Objective-C, Kotlin/Java and design patterns.
Good knowledge of Xcode, iOS SDK performance tools, and optimization.
Good knowledge of Android SDK, different versions of Android.
Understanding of the full mobile development life cycle.
Knowledge of working one of current frameworks or technologies for Mobile (Single Application, Hybrid Application, Web Socket, Realtime, Cache, Web service, …).
Strong understanding of object-oriented programming.
Highly developed, demonstrated teamwork skills.
Language skills:
Vietnamese (Fluent Native)
English (basic/mid-level)
Benefits Provided:
12 days annual leave + 3 days sick leave + 1 day birthday leave.
13th month salary bonus (Pro Rata).
End of year party.
Very competitive Salary and benefits.
Health Care.
Mid-year company trip.
Monthly Team building.
Fantastic Modern Offices.
Latest technology.
5 days – working week.
Training and Development."
2,"Tuyển Thực Tập Sinh Mobile Developer (iOS/Android/Flutter)
- job post","Posted
Posted 23 days ago",Công Ty Cổ Phần Công Nghệ Và Đầu Tư Đức Minh,,Hà Nội,"20,000,000 VNĐ a year","Mô tả công việc:
(Mức lương: Đến 20 triệu VNĐ)
Tham gia phân tích, thiết kế luồng phát triển của ứng dụng di động dựa vào yêu cầu của khách hàng.
Tham gia phát triển ứng dụng di động phục vụ các bài toán trong đa dạng lĩnh vực cho các dự án công tyvà các khách hàng
Đánh giá, phân tích, nâng cấp và tối ưu mã nguồn trong quá trình phát triển.
Nghiên cứu các công nghệ mới để áp dụng trong các dự án hiện tại và tương lai.
Tham gia đưa ra những ý tưởng, giải pháp mới cải thiện công việc cũng như góp phần tăng doanh thu cho công ty.
Chức vụ: Thực Tập Sinh
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Chế độ
+ Hưởng trợ cấp trong thời gian học việc 1.000.000 VNĐ/tháng
+ Có thưởng theodự án thực tế
+ Cơ hội trở thành nhân viên chính thức sau quá trình thực tập
+ Được học hỏi nhiều kiến thức, công nghệ mới, kinh nghiệm từ người đi trước
Văn hóa và Môi trường làm việc:
+ Môi trường trẻ trung, năng động, thoải mái, tạo điều kiện để cá nhân phát triển năng lực nhất có thể
+ Nghỉ 15 phút cafe/ bóng bàngiữa giờ
+ Tham gia các hoạt động thể thao nâng cao sức khỏe, liên hoan nội bộ tháng 1 lần
+ Free trà, cà phê, đồ ăn vặt
Chế độ khi trở thành nhân viên chính thức
+ Lương thỏa thuận theo năng lực
+ Nghỉ thứ 7, chủ nhật + ngày lễ, tết + 12 ngày phép/năm, đóng bảo hiểm đầy đủ
+ Xét tăng lương 2 lần/năm, có năng lực sẽ được xét ngay tại thời điểm yêu cầu
+ Lương tháng 13, thưởng dự án , thưởng các dịp lễ, tết
Yêu cầu bằng cấp (tối thiểu): Đại Học
Yêu cầu công việc:
Là sinh viên năm cuối các trường đại học, chuyên ngành về công nghệ thông tin phần mềm
Có kinh nghiệm phát triển ứng dụng di động trên nền tảng iOS/Android/Flutter
Yêu thích lập trình, chịu khó tìm hiểu và học hỏi
Có thể lên công ty tối thiểu 20 tiếng/tuần hoặc làm fulltime
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: Android,CNTT - Phần Mềm,iOS

Đại Học
Dưới 5 năm"
3,"[Urgent] 10 Mobile Apps Developer (iOS/Android)
- job post","Posted
Posted 20 days ago",VietinBank,https://jobs.vn.indeed.com/cmp/Vietinbank?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659cg0kntu800&fromjk=a506a504e3924f4f,Hà Nội,,"VietinBank

183 Nguyễn Lương Bằng, Dong Da, Ha Noi
At office
Posted 13 days ago
Skills:
Android
Team Leader
iOS
Top 3 reasons to join us
Thu nhập từ 20 - 22 tháng lương/năm
Được đào tạo trend công nghệ mới
Team building, year-end party...
Job description
Phát triển mới các ứng dụng, thư viện Mobile Banking dành cho khách hàng trên nền tảng iOS, Android.
Nghiên cứu, tìm hiểu các giải pháp về việc áp dụng các tính năng của thiết bị di động vào ứng dụng Mobile của ngân hàng
Nâng cấp, hỗ trợ ứng dụng dịch vụ đã phát triển.
Your skills and experience
Tốt nghiệp ĐH chính quy CNTT trở lên, Chuyên ngành Công nghệ thông tin
Yêu cầu kinh nghiệm
Chuyên viên lập trình iOS:
Từ 1 năm kinh nghiệm phát triển mobile app, thư viện iOS, Android
Thành thạo xCode, Swift, có kinh nghiệm lập trình ứng dụng trên iOS, lập trình hướng đối tượng
Thành thạo với Realm, giao tiếp client-server qua REST, JSON
Có kinh nghiệm làm việc với SVN/GIT
Có kinh nghiệm xử lý UI và tối ưu giao diện

Chuyên viên lập trình Android:
Từ 1 năm kinh nghiệm phát triển mobile app, thư viện iOS, Android
Thành thạo Java/Kotlin, lập trình Android, lập trình hướng đối tượng
Đã làm việc hoặc có kinh nghiệm với: Multi Module, MVVM, JetPack, XML Layouts, Compose hoặc các kiến trúc, thiết kế mới.
Có kinh nghiệm xử lý UI và tối ưu giao diện
Có kinh nghiệm làm việc với thư viện của bên thứ 3: Push Notification, network Resful Request, Image loader…
Trưởng nhóm (DEV Lead iOS/DEV Lead Android):
Từ 3 năm kinh nghiệm phát triển mobile app, thư viện iOS, Android
Tham gia xây dựng môi trường cho hệ thống, lựa chọn kiến trúc, framework cho dự án.
Nghiên cứu công nghệ mới, chia sẻ đến các thành viên đội DEV
Tham gia lên kế hoạch, đảm bảo chất lượng và tiến độ dự án
Yêu cầu kỹ năng
Lập trình viên iOS:
Có thể làm việc dưới áp lực cao về deadline và chất lượng sản phẩm.
Có kiến thức về Objective – C là 1 lợi thế
Ưu tiên ứng viên có kinh nghiệm làm việc về lĩnh vực tài chính, ngân hàng
Ưu tiên ứng viên có ứng dụng hoặc sdk demo trên App Store
Lập trình viên Android:
Có thể làm việc dưới áp lực cao về deadline và chất lượng sản phẩm.
Ưu tiên ứng viên có kinh nghiệm làm việc về lĩnh vực tài chính, ngân hàng
Ưu tiên ứng viên có ứng dụng hoặc sdk demo trên Google Play Store
Trưởng nhóm:
Có thể làm việc dưới áp lực cao về deadline và chất lượng sản phẩm.
Có kinh nghiệm trong lĩnh vực mình phụ trách
Có kỹ năng quản lý nhóm
Có khả năng thực hiện các công việc với vai trò SA
Why you'll love working here
Thời gian làm việc: 8 - 17h từ thứ 2 - thứ 6
Mức lương cạnh tranh
Mua bảo hiểm VBI

VietinBank

Trở thành Tập đoàn tài chính ngân hàng dẫn đầu VN ngang tầm khu vực, hiện đại, đa năng, hiệu quả cao
Company type
Product
Company size
1000+ employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT"
4,"Mobile Developer (Flutter)
- job post","Posted
Posted 26 days ago",Chứng Khoán Sài Gòn,https://jobs.vn.indeed.com/cmp/Ch%E1%BB%A9ng-Kho%C3%A1n-S%C3%A0i-G%C3%B2n?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659ehek451800&fromjk=e12c78ddb4ff6b43,Hà Nội,,"Mô tả công việc
Yêu cầu công việc
Mức lương
This position is responsible for the in-house Phone App development for the needs of the company. Application developer may involve in different stages of the System Development Life Cycle (SDLC) included but not limited to requirement collection, design, development, testing, documentation and training. The level of involvement is subjected to the decision of the Application Team Lead and/or Project Manager.
Application development
Collect requirement detail from user department and preparing the requirement specification for the sign-off. This is required for those requests without the involvement of business analyst.
Develop the application according to the given requirement specification. Application includes but not limited to stand alone application, application interface, external gateway.
Ensure the application achieved users acceptable quality standard. He/She shall test the application properly before asking users for his/her acceptance test.
Documentation (subjected to Team Lead/Software Manager)
Prepare the document for the application to develop. This shall include but not limit to requirement specification, test procedure, installation guideline, data migration/preparation guideline operation guideline, and system requirement.
Implementation
Ensure the application achieved users acceptable quality standard. He/She shall test the application properly before asking users for his/her acceptance test.
Prepare training material for end-users on how to use the application as well as Application Support Team on how to operate the application.
Assist the Operation Support Team on rolling out the application to production environment.
Assist the Operation Support Team and/or Application Support Team on data migration/preparation for the application.
Assist the Application Support Team on problem diagnostic.
Fix problem with documentation for the root cause of the problem.
University Degree in IT or related subjects
Minimum 2-3 years Flutter development experience
Minimum 2-3 years software development experience.
Proficient in either Android or iOS native development using programming languages like Java, Kotlin (Android) or Swift (iOS), React-Native is a plus
Understanding of Mobile design principles.
Familiar with architectural design patterns (MVP, MVC, MVVM).
Experience with building full production apps that have complex integrations with other platforms/apps via REST
Experience using Jira and follow Scrum process.
Experience on finance system and securities trading system is a plus
In 2022, SSI Securities was proudly honored in the list of "" Top 1 Financial Services Industry"", second year consecutively in the ""Top 100 best places to work in Vietnam"" and marked for the 4th time in ""Top 50 Attractive Employer Brands - Vietnamese Enterprises"" announced by Anphabe.
Highly competitive and negotiable monthly salary
Attractive package of 13th month salary, KPIs bonus, Public holiday bonus, Birthday gift, Lunar new year gift
12 Annual leaves + 2 paid sick leaves
Premium AON health-care insurance and annual health check
Luxury team-building trip and varied engagement activities
Internal leisure clubs: Football, E-Sport, Running, Gym, Yoga
Fully-sponsored career-related training"
5,"Mobile Android Developer
- job post","Posted
Posted 30+ days ago",RIKKEISOFT,https://jobs.vn.indeed.com/cmp/Rikkeisoft?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659ihg2ggh000&fromjk=9ec96d08c936b107,Hà Nội,,"RIKKEISOFT

Tầng 21, Tòa nhà HANDICO, Phạm Hùng, Nam Tu Liem, Ha Noi
At office
Posted 41 days ago
Skills:
Android
Database
English
Top 3 reasons to join us
Môi trường làm việc đa quốc gia
Cơ hội thăng tiến, phát triển bản thân
Trải nghiệm làm việc tại Nhật Bản/ Âu Mỹ
Job description
Participate in developing Android Mobile projects for customers.
Receive requests and participate in analyzing requirements from customers, providing the most optimal solution
Analyze and optimize program performance. Design deployment models that ensure high performance.
Learn and understand user interactions
Coordinating with various teams working on distinct layers
Your skills and experience
At least 3 years of experience of Android development
Good at English
Experience use Android Studio, Git, grasp basic Android architecture: Activities, Fragments, Services, Intents, Network, Database, Layout, Recyclerview...,
Know how to organize code, build MVP, MVVM models…
Coordinate with internal teams to understand user requirements and provide technical solutions
Eager to learn new technologies.
Why you'll love working here
Package: at least 13 months/ year. Review twice per year
Bonus: Tet bonus, project bonus, holiday bonus, HR referral bonus…
Participate in learning and training activities inside and outside the company, accumulate learning points, develop G- Points on the company's management system.
Leave Saturday, Sunday + 12 days of leave/year
Clubs and many cultural- sports -art activities sponsored or supported by the company (For example: Football, table tennis, badminton, swimming, music, English, games... )
Ensure health: Periodic health check, support to buy high quality health insurance…
Join the Rikkei Care Health Insurance Plan.
Mental comfort: Playing music on demand every day, fresh fruit, team building activities...
Going out near and far everywhere
Opportunity to work abroad and travel around (US, Thailand, Japan...).

RIKKEISOFT

Top 30 Công ty IT hàng đầu tại Việt Nam về sản xuất phần mềm
Company type
Outsourcing
Company size
1000+ employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT"
6,"[HN] Fresher/Junior Backend Developer (Java)
- job post","Posted
Posted 30+ days ago",TẬP ĐOÀN SUNSHINE,https://jobs.vn.indeed.com/cmp/T%E1%BA%ADp-%C4%90o%C3%A0n-Sunshine?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659laf2gfn000&fromjk=187006388190308e,Hà Nội,,"MÔ TẢ CÔNG VIỆC
Tham gia phát triển các dịch vụ Backend cho ứng dụng Mobile, Web
Tham gia phát triển ứng dụng quản lý tập đoàn, ứng dụng Backend cho IoT, ứng dụng Realtime
Có cơ hội tham gia phát triển các dự án mới vô cùng đa dạng trong lĩnh vực Fintech (Ngân hàng, chứng khoán, đầu tư tài chính, bất động sản): Phát triển các ứng dụng liên quan đến các hệ thống ngân hàng trực tuyến: Internet web, Mobile app, cổng thanh toán (payment gateway), phát triển các tiện ích thanh toán thẻ và các hệ thống ứng dụng khác hỗ trợ giao dịch trực tuyến; các ứng dụng quản trị nội bộ: Quản lý và phê duyệt các khoản, số hóa thủ tục giấy tờ, quản lý bán hàng và các ứng dụng hỗ trợ thúc đẩy công tác quản lý và kinh doanh, các ứng dụng trên hệ thống core hoặc ứng dụng tích hợp với hệ thống core…
Làm việc theo sự phân công của Trưởng nhóm/Quản lý dự án, phối hợp giữa các nhóm để phát triển sản phẩm.
YÊU CẦU ỨNG VIÊN
Tốt nghiệp ĐH chuyên ngành Công nghệ thông tin, Điện tử viễn thông, Toán tin ứng dụng, hoặc các chuyên ngành có liên quan về lập trình phát triển ứng dụng
Có kiến thức tốt về lập trình và thiết kế hướng đối tượng (OOP), Design Patterns
Có nền tảng cấu trúc dữ liệu và giải thuật tốt
Có kiến thức tốt về quy trình phát triển phần mềm
Ưu tiên ứng viên có kinh nghiệm lập trình Java, Angular
Yêu thích công việc lập trình, có tư duy logic – thuật toán tốt, có khả năng học hỏi
Có thái độ cầu tiến, chủ động, trách nhiệm trong công việc.
Ưu tiên có kinh nghiệm làm việc trong dự án thật hoặc đồ án tốt nghiệp về: Java-web app (Spring, Struts, Hibernate, Java ADF); Lập trình front-end (HTML5, CSS3, Javascript); CSDL Oracle, MS SQL, PostgreSQL
QUYỀN LỢI ỨNG VIÊN
Được training các kiến thức về lập trình , tham gia vào các hoạt động triển khai dự án thực tế của Công ty
Lương cạnh tranh, lương thưởng xứng đáng theo năng lực
Có cơ hội trở thành nhân viên chính thức của công ty
Đồng nghiệp thân thiện, nhiệt tình, luôn luôn sẵn sàng support nhau trong công việc
Công việc phân chia rõ ràng, đảm bảo theo đúng năng lực và đúng khối lượng cho mỗi cá nhân
Tham gia các các hoạt động của công ty như: team building, annual trips, barbecues, …
Được hưởng đầy đủ các quyền lợi theo luật lao động, nghỉ phép, được tham gia đóng BHXH, BHYT
Thưởng vào các ngày lễ tết 30/04, 01/05, 08/03, tết âm lịch, dương lịch và lương tháng thứ 13
Được hưởng các chính sách, ưu đãi về dịch vụ của Tập đoàn đối với nhân viên như mua nhà, mua sắm S’Mart, S’Cafe, học tập S’School, nghỉ dưỡng, chăm sóc sức khỏe, đi lại….
Địa điểm làm việc: Tòa Sunshine Center, 16 Phạm Hùng, Nam Từ Liêm, HN ;
Thời gian làm việc: Từ thứ 2 đến thứ 5 (08h00 – 18h00), thứ 6 (08h00 – 17h00)"
7,"Nodejs Developer
- job post","Posted
Posted 4 days ago",Công Ty TNHH Luxstay Việt Nam,https://jobs.vn.indeed.com/cmp/C%C3%B4ng-Ty-Tnhh-Luxstay-Vi%E1%BB%87t-Nam?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659o2kj6rp800&fromjk=858091d50afb0c85,Hà Nội,,"Mô tả công việc:
(Mức lương: Thỏa thuận)
Integration of user-facing elements developed by front-end developers with server side logic
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Integration of data storage solutions (databases, key-value stores, blob stores, etc.)
Chức vụ: Nhân Viên/Chuyên Viên
Hình thức làm việc: Toàn thời gian
Quyền lợi được hưởng:
Having chances to get attractive company bonus every month/year
Company trip once a year + Joining party
Salary and position is reviewed 1 time a year
Bonus by individual ability and company’s performance.
Social insurance, health insurance, unemployment insurance and other benefits
Dynamic and sociable working environment.
Yêu cầu bằng cấp (tối thiểu): Trung cấp - Nghề
Yêu cầu công việc:
1+ years in project development
Strong proficiency with JavaScript (CoffeeScript depending on your technology stack)
Knowledge of Node.js and frameworks available for it such as Express, StrongLoop, etc)
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of server-side templating languages ( Jade, EJS, etc)
Good understanding of server-side CSS preprocessors (Stylus, Less, etc)
Basic understanding of front-end technologies, such as HTML5, and CSS3
Understanding accessibility and security compliance
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
Yêu cầu giới tính: Nam/Nữ
Ngành nghề: CNTT - Phần Mềm,Javascript,NodeJS

Trung cấp - Nghề
Không yêu cầu"
8,"Mobile Developer (Flutter, Kotlin, Dart)
- job post","Posted
Posted 25 days ago",Rocket Game Studio,https://jobs.vn.indeed.com/cmp/Rocket-Game-Studio?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659rs1h0go800&fromjk=aabea15582f71b9d,Hà Nội,,"Rocket Game Studio

Tầng 8, Gold Tower 275 Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuan, Ha Noi
At office
Posted 25 days ago
Skills:
Flutter
Kotlin
Dart
Top 3 reasons to join us
Tham gia vào 1 trong những công ty Game hàng đầu
Thu nhập 14 -16 tháng lương/năm
Được chia sẻ lợi nhuận từ những dự án thành công
Job description
Xây dựng và phát triển toàn vòng đời ứng dụng Mobile sử dụng Flutter và Native Language
Tham gia phát triển cho cả vòng đời sản phẩm từ khâu lên ý tưởng cho tới hoàn thiện sản phẩm
Phân tích các yêu cầu về chức năng/kỹ thuật và đưa ra các khuyến nghị về các cách tiếp cận thích hợp và hiệu quả nhất để phát triển trải nghiệm người dùng
Đưa ra các ý tưởng sáng tạo mang tính thực tiễn và làm việc đa nhiệm trong môi trường làm việc nhóm
Yêu cầu với level Senior: Đào tạo, quản lý team theo nhu cầu của công ty
Yêu cầu với level Junior: Tương tác liên tục với các thành viên khác trong quá trình làm việc
Your skills and experience
Yêu cầu với level Senior:
Thành thạo Dart, hơn 3 năm kinh nghiệm với Flutter
Thuần thục sử dụng các công cụ lập trình như Android Studio, Git…
Yêu cầu sử dụng được ngôn ngữ lập trình Kotlin và Dart
Nắm chắc kiến thức về OOP và các architectures cho ứng dụng Mobile
Khả năng lập trình native app trên android (có kiến thức lập trình native app trên IOS là một lợi thế)
Kiến thức về các giao thức ngôn ngữ Flutter với native là điều kiện bắt buộc
Có tư duy logic tốt, chủ động trong công việc, có tinh thần trách nhiệm và phát triển bản thân cao
Có kỹ năng review code của member, training cho các thành viên mới
Làm việc thành thạo với Restful API
Sử dụng thành thạo Provider, BLoC, GetX, Riverpod …
Có kinh nghiệm xây dựng base project cho team dự án là lợi thế
Có kinh nghiệm tối ưu hóa UI/UX là lợi thế
Yêu cầu với level Junior:
Có kinh nghiệm tối thiểu 1 năm làm các ứng dụng Mobile
Thuần thục sử dụng các công cụ lập trình như Android Studio, Git…
Yêu cầu sử dụng được ngôn ngữ lập trình Kotlin và Dart
Nắm chắc kiến thức về OOP và các architectures cho ứng dụng Mobile
Khả năng lập trình native app trên android (có kiến thức lập trình native app trên IOS là một lợi thế)
Kiến thức về các giao thức ngôn ngữ Flutter với native là điều kiện bắt buộc
Có tư duy logic tốt, chủ động trong công việc, có tinh thần trách nhiệm và phát triển bản thân cao
Why you'll love working here
Được đánh giá lương 1 lần/năm và thưởng vào cuối năm
Thu nhập: 14-16 tháng lương/năm + thưởng dự án, thưởng Tết và các dịp lễ
Hỗ trợ ăn trưa cho nhân viên
Hỗ trợ mua nhà không lãi suất
Được tham gia BHXH
Được tham gia gói bảo hiểm đặc biệt của Bảo Việt
Khám sức khỏe định kì 1 năm/lần
Làm việc từ thứ 2 đến thứ 6, nghỉ t7 và CN
Hưởng các chế độ, phúc lợi như: Thưởng lễ tết, thưởng dự án; 12 ngày phép năm
Phúc lợi và phụ cấp khác:
Tea break vào các buổi chiều
Du lịch và team building 02 lần/năm
Tham gia đào tạo tiếng Anh và các kỹ năng mềm
Tham gia các hoạt động công ty: đá bóng, chơi game, team building…
Cơ hội phát triển:
Làm việc trong môi trường Product cùng các chuyên gia trong và ngoài nước
Được tham gia các khóa đào tạo về tiếng anh hàng tuần
Cùng nghiên cứu và thử thách với những công nghệ mới và các hot tech trend trên thế giới thông qua các buổi training hoặc các cuộc thi nội bộ và có phần thưởng cho các cuộc thi này
Được tham gia các chương trình training về kỹ năng công nghệ và kỹ năng mềm, phương pháp làm việc (Agile, Scrum…)
Được tư vấn và chia sẻ về phát triển năng lực và nghề nghiệp bản thân
Chăm sóc sức khỏe:
Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm
Nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi: 1h/ngày
Môi trường văn hóa đa quốc gia
Môi trường làm việc toàn cầu, văn hóa đa quốc gia, tôn trọng phát triển cá nhân, công bằng và luôn khuyến khích sáng tạo để tạo nên những giá trị “awesome” cho công ty & cho thế giới
Các thành viên công ty thân thiện cởi mở, chia sẻ, giúp đỡ nhau vượt qua mọi khó khăn trong công việc và đời sống
Tiện ích phong phú:
Hoa quả và bánh kẹo hàng ngày tại Công ty
Sử dụng miễn phí đồ uống tại khu sinh hoạt của Công ty
Sử dụng miễn phí mọi loại sách giá trị tại thư viện của công ty.
Trang thiết bị hiện đại, sẵn sàng phục vụ nhân viên mọi lúc mọi nơi
Hoạt động đa dạng
Nhiều hoạt động bên lề phong phú của các câu lạc bộ:
CLB văn hóa: Cờ vua, Cờ tướng, Game (AOE, LOL, DOTA2, PES, etc.)…
CLB thể thao: Cầu lông, Bơi,…

Rocket Game Studio

Onesoft – Công ty đi đầu trong lĩnh vực phát triển game ra thị trường thế giới.
Company type
Product
Company size
51-150 employees
Country
Vietnam
Working days
Monday - Friday
Overtime policy
No OT"
9,"Backend Web Developer (NodeJS)
- job post","Posted
Posted 30+ days ago",Eastgate Software,https://jobs.vn.indeed.com/cmp/Eastgate-Software-Jsc?campaignid=mobvjcmp&from=mobviewjob&tk=1hg659vmah0go800&fromjk=dc85fb1351ee1b72,Hà Nội,,"Salary:
1,000 — 2,500 USD
Location:
CÔNG TY CỔ PHẦN EASTGATE SOFTWARE - HQ
Application deadline:
27/09 — 31/12/2023
Job Description
Founded in 2014, Eastgate Software is a software development company that builds custom business solutions and applications. We are proud of our high-qualified staff who has more than 20 years of experience in software development including web, mobile and desktop applications.
We put quality and customer satisfactions at the top priority in every project we carry. Therefore, our German and US senior experts offer local consultancy for European and US clients.
As a member of Eastgate, you will be emerged in a professional and flexible environment where you have opportunities to express your own ideas and improve your skill set through many interesting full-cycle projects.
Your responsibilities:
Designing, developing new programs, products, or features by analyzing the raw requirement.
Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.
The ideal candidate:
At least 2 years of software development experiences
Bachelor‘s degree or higher in Computer Science, Information Technology or equivalent
Fluency of specific languages, such as NodeJS, PHP (Laravel, WordPress)
Experience with JavaScript ES5 or ES6, TypeScript is a strong plus
Strong understanding of the web development cycle and programming techniques and tools.
Solid understand of object-oriented programming principle (OOP).
Experienced with web service protocols such as HTTP/ REST, SOAP.
Experienced with database (SQL and NoSQL).
Experienced with CI/CD, Cloud (Docker, Azure DevOps, AWS...) is a plus
Ability to work independently or with a group.
Why you’ll love working at Eastgate:
Attractive salary package
Eastgate Software is a Global Fortune 500 Preferred Vendor, so you will have an opportunity to work with many IT Experts around Europe and USA
Be emerged in a professional and motivating environment where you have opportunities to express your own ideas and improve your skill set through many interesting full-cycle projects
Flexible working time: 9:30 a.m. to 6:30 p.m., Monday to Friday, No Overtime (Only 8 working hours)
Performance review and appropriate gratification: twice a year
13th month salary + Project bonus
Free snacks, video gaming & movie nights, team social and sport activities
15 leave days/year (will be added an extra day each year and maximum 20 days for annual leave)
Able to request 2 days/month Working from home"
