,title,date,company,company_link,location,type-salary,description
0,"GUCCI Team Manager
- job post","Posted
Posted 30+ days ago",Groupe Kering,https://jobs.vn.indeed.com/cmp/Kering?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h7lktj6rp800&fromjk=5b133635d4c676b6,Hà Nội,,"Summary
As a GUCCI Team Manager, you will lead and inspire a dedicated team of Client Advisors to deliver the highest performance through a client centric attitude.
You will lead from the shop floor, delivering real time coaching and feedback to achieve business and product category goals. You will develop and grow the talent within your team.
You are an ambassador of the brand, promoting our Values and Amplifiers.
Job Description
Team management and development
Promote a positive and professional team environment that fosters trust, integrity and superior performance standards, leading by example.
Working on the shop floor, you will be in constant contact with your team, supporting and coaching where needed, ensuring a consistent client experience.
Provide support and regular feedback to Client Advisors to ensuring their development is ongoing and their motivation and sense of belonging is high.
Conduct regular and monthly performance conversations, discussing results and developing action plans.
Participate in attracting, recruiting, and onboarding a high performing team.
Manage the employee lifecycle of the client advisor both online through Workday and local platforms and offline through paper forms and documents.
Partner with the Store Manager and Human Resources on employee relations issues to ensure effective resolution.
Monitor your team’s adherence to company policies and procedures; follow up when needed.
Support opening and closing of the store as Manager on Duty.
Lead Store Morning Briefings as and when required, delivering key business communication and daily objectives.
Develop and lead cross category and floor working, ensuring your team can and do sell all categories across all floors.
Client service and development
Lead and inspire your team on executing a superior client experience, ensuring the hospitality mindset is in each Client Advisor.
Develop a client engagement mindset, with the purpose of building long lasting relationships with clientele.
Full utilization of the various clienteling tools to activate, retain and grow team and personal client base.
Lead the execution of clienteling activities with your team, developing actions to reach clear goals and KPIs.
Lead from the shop floor, actively selling and role modelling the selling ceremony.
Manage the customer flow on the shop floor ensuring no client is left unattended and exceptional service is delivered.
Manage and resolve customer issues, delighting and retaining the client relationship.
Product and business development
Monitor the performance of the assigned categories and
proactively propose action plans to reach the targets.
Partner with the Store Manager and the Merchandising team, by providing effective feedback on products, stock situation and specific category requests in order to grow the business.
Partner with the Store Manager and VM team to provide insights to maximize the category potential while ensuring the image and merchandising guidelines of the store are maintained.
Partner with the Store Manager and the Training team to ensure Client Advisors develop full product knowledge through specific training, while ensuring they are aware of market trends and competitors.
Utilise digital platforms to support store and online product sales.
Job Requirements
Be Curious, Empathic and Sensitive
Minimum 2 – 3 years of experiences in a supervisory capacity from the retail or service industry, preferably with a proven track record in luxury fashion
Direct people management (team of 6/7) a strong plus
Well-groomed and driven with strong leadership and communication skills to manage teams in achieving set standards for all aspects of store operations.
Independent individual with strong decision-making skills
Passionate in growing a career within the luxury fashion industry.
Job Type
Regular
Start Date
2023-10-29
Schedule
Full time
Organization
Gucci Vietnam Co. Ltd."
1,"Internship, Regulatory Compliance
- job post","Posted
Posted 30+ days ago",HSBC,https://jobs.vn.indeed.com/cmp/HSBC?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h7pik2ggh002&fromjk=bdc863601fed81fc,Hà Nội,,"Job Advert Details
Some careers grow faster than others.

If you’re looking for a career that will give you plenty of opportunities to develop, join HSBC and your future will be rich with potential. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, HSBC offers opportunities, support and rewards that will take you further.

Global Functions (GFs) play a vital role in supporting the bank’s Global Businesses and offer a broad range of career opportunities in areas from legal, risk and finance to human resources, sustainability, marketing and communications. Their operational and functional teams around the world help HSBC’s Global Businesses to operate efficiently and effectively on a day-to-day basis. They also focus on controls and governance to reduce risk and protect the Group’s reputation.

We are currently seeking a high calibre professional to join our team as an Internship, Regulatory Compliance.

Principal accountabilities:

Arrange, classify, and save Documents in forms applied by the Bank (e.g. hard copy, soft copy, off-site store)
Compare, reconcile information on received Documents based on available data (source) to ensure consistency of the information on such Documents
Consolidate reports in word and excel templates.
Input information from available data into Systems or Documents following a pre-designed templates
Other administrative works
Qualifications
Knowledge/Special Skills Requirements

Students from Universities/Educational Institutions who have not graduated yet and desire for a 6-9 month internship.
Ability to intern full-time is a plus.
Have a recommendation letter for their internship period from Universities/Institutions.
Good time management skill
Good interpersonal skill
Careful, responsible

You’ll achieve more when you join HSBC.

http://www.hsbc.com/careers

HSBC is committed to building a culture where all employees are valued, respected and opinions count. We take pride in providing a workplace that fosters continuous professional development, flexible working and opportunities to grow within an inclusive and diverse environment. Personal data held by the Bank relating to employment applications will be used in accordance with our Privacy Statement, which is available on our website.

Issued by The Hongkong and Shanghai Banking Corporation Limited"
2,"Spa Manager - Sheraton Hai Phong
- job post","Posted
Posted 27 days ago","Marriott International, Inc",https://jobs.vn.indeed.com/cmp/Marriott-International?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h7sbak3su801&fromjk=a622e662f798deb4,Hà Nội,,"Job Number 23190893
Job Category Spa
Location Sheraton Hai Phong, Vinhomes Imperia Metropolitan Area, Hai Phong, Ha Noi, Viet Nam VIEW ON MAP
Schedule Full-Time
Located Remotely? N
Relocation? N
Position Type Management

JOB SUMMARY
Position has responsibility for supervising and coordinating activities of employees delivering spa services, including salon, skin care, program coordination, reservations, reception desk, massage and locker room areas. Position focuses on ensuring guest and employee satisfaction and achieving the operating budget.
CANDIDATE PROFILE
Education and Experience
High school diploma or GED; 2 years experience in the spa, guest services, or related professional area.
CORE WORK ACTIVITIES
Supporting Management of Spa Operations and Budgets
Assumes the responsibilities of the Spa Director in his/her absence.
Ensures all employees have the proper supplies, equipment and uniforms.
Comprehends budgets, operating statements and payroll progress reports as needed to assist in the financial management of department.
Manages supplies and equipment inventories within budget.
Maintains cleanliness of spa and related areas and equipment.
Understands the impact of department’s operations on the overall property financial goals and objectives and managing to achieve or exceed budgeted goals.
Ensuring and Delivering Exceptional Customer Service
Sets a positive example for guest relations.
Interacts with guests to obtain feedback on product quality and service levels.
Handles guest problems and complaints.
Empowers employees to provide excellent customer service.
Emphasizes guest satisfaction during all departmental meetings and focusing on continuous improvement.
Strives to improve service performance.
Conducting Human Resources Activities
Solicits employee feedback, utilizing an “open door” policy and reviewing employee satisfaction results to identify and address employee problems or concerns.
Ensures employees understand expectations and parameters.
Brings issues to the attention of the department manager and Human Resources as necessary.
Observes service behaviors of employees and providing feedback to individuals.
Participates in employee progressive discipline procedures.
Participates in an on-going employee recognition program.
Reviews comment cards and guest satisfaction results with employees.
Supports a Spa orientation program for employees to receive the appropriate new hire training to successfully perform their job.
Supervises on-going training initiatives and conducting training when appropriate.
Establishes and maintains open, collaborative relationships with employees and ensuring employees do the same within the team.
Celebrates successes and publicly recognizes the contributions of team members.
Ensures property policies are administered fairly and consistently, disciplinary procedures and documentation are completed according to Standard and Local Operating Procedures (SOPs and LSOPs) and support the Peer Review Process.
Assists the Spa Director in managing the day-to-day operations of the spa as necessary.

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937. At Sheraton, associates create a sense of belonging in more than 400 communities around the world. We invite, we welcome, and we connect guests through engaging experiences and thoughtful service. If you’re a team player who is excited to deliver a meaningful guest experience, we encourage you to explore your next career opportunity with Sheraton. Join us on our mission to be ‘The World’s Gathering Place’. In joining Sheraton Hotels & Resorts, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you."
3,"Assistant to the CEO
- job post","Posted
Posted 30+ days ago",VinAI Research,https://jobs.vn.indeed.com/cmp/Vinai-Research?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h7v3t2ggj000&fromjk=119d79a62a8f401f,Hà Nội,,"What you'll do
Schedule, manage and remind external & internal meetings
Organize, take notes, and summarize meeting contents
Create and manage to-do list, tasks, and deadlines of the CEO
Track progress assigned to other staffs, departments, and report to the CEO
Perform other duties as assigned
What you'll need
Minimum requirements:
Bachelor’s degree or above (study abroad is strongly preferable)
Outstanding communication skills in both Vietnamese & English
Proficient English skills (Listening, Speaking, Reading, Writing) (IELTS 7.5+)
ProficientMicrosoftOfficeSkills(Powerpoint,Word,Excel,etc.)
Excellent organizational (RGPDCA) skills, time management, and attention to detail
At least 1-year experience in secretary/assistant position
Able to start working immediately

Preferred requirements:
A good working knowledge of business regulations, standards, and procedures o Public speaking, presentation, and design skills
Management&Leadershipskills
Good logical & systematic thinking, judgment, and decision-making skill
Why you'll love to work here
Tremendous growth opportunity of a fast-paced AI technology startup, uniquely positioned in Vietnam and globally.
Compensation is highly competitive and will consider the applicant’s current experience level.
Opportunity to continuously grow your knowledge in human resources and project management, and your leadership skills.
Opportunity to contribute, interact, share, and learn from exceptionally talented colleagues globally."
4,"Human Resources Specialist
- job post","Posted
Posted 30+ days ago",Optimizely,https://jobs.vn.indeed.com/cmp/Optimizely?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h82rpj6rp800&fromjk=df6d1a51948acafe,Hà Nội,,"Optimizely is focused on unlocking the boundless potential of our clients and employees. We are a category leader in Digital Experience Platform (DXP) and have the pleasure of serving over 9,000 brands, from global organizations such as Visa, Sky, Yamaha, and Wall Street Journal to tech innovators like Atlassian DocuSign, FitBit, and Zillow.
Optimizely fosters an inclusive and diverse culture with a global team of 1500+ people spread
across the US, Europe, Dubai, Australia, Singapore, Bangladesh, and Vietnam. Our unique work environment focuses on flexibility, trust, teamwork, diversity, and moving fast.
We genuinely believe that our people make all the difference, and once we find the best talent, we go out of our way to nurture them. If you are looking to work on the next generation of digital technologies in a fast-paced and growing environment with industry leaders, Optimizely is the place for you!
Job Responsibilities
Primary responsibility is to answer employee and manager related inquiries coming in through HR ticketing system. Responses to tickets must be of high quality and adhere to established SLA (service level agreements) which is within 24 hours of ticket submission.
Escalate select tickets/cases for further support as and when necessary.
Support the administration of all employee life cycle matters relating to HR through the HRIS Platforms (SuccessFactors, Benefit Admin, etc.). Ensure these are timely and accurate and in adherence to company procedures. This includes strong adherence to data quality standards to audit data, identify and resolve data discrepancies, etc.
Establish proficiency in SuccessFactors processes and reporting to guide managers and employees.
Work alongside payroll to support any queries related to employee absences, pay or benefits for employees. Generally, this will include forwarding pay related inquiries to payroll for resolution or assisting payroll in a data related inquiry.
Prepare offer letters or other employee documentation like promotion/merit/amendments for other life cycle events.
Deliver global onboarding sessions for new hires and establish cohorts with new hires to improve onboarding experience.
Support the implementation of HR solutions in-country, regionally and globally.
Manage the execution of core HR Operations activities and programs including, but not limited to, new hire onboarding, offboarding, and others.
Ensure company policies are administered fairly and consistently throughout the area of responsibility. Referring to HR SharePoint as source of knowledge.
Support audit requests by producing data and adhering to process steps in daily work. May assist with local employee related investigations as needed basis.
Manage HR Administration for assigned country (Vietnam) in line with Compliance and legal requirements.
Support other tasks as and when assigned.
Knowledge and Experience
2 years of HR experience of in fast-paced environments
Experience managing full life cycle HR Administration in Vietnam. It’s a plus if the candidate has experience managing the same in different countries.
Strong administration skills - ability to complete high volumes of tasks with accuracy and confidence.
Project management skills – ability to scope out and keep a project or task moving from start to finish.
Customer oriented mindset.
Self-directed and a quick learner with the ability to achieve results while working under the pressure of shifting priorities in a dynamic and agile environment.
Excellent written and verbal communication skills.
Proficient with Microsoft Office Suite or similar software.
Capacity to apply discretion and maintain a high level of confidentiality when handling sensitive information.
Leverage key learnings and applies to future situations.
Resourceful and figure things out autonomously when needed.
Learn about Optimizely HR programs and processes to guide managers and employees.
Flexible work: on weekends and nightshift, to cover and work in different time zones.
Ideal candidate has used HRIS system like SuccessFactors / Workday etc.
About us:
5 working days /week with flexible working time and no overtime.
Annual luxury Kick-off vacation.
International, professional, creative working environment and talented teams
Onsite opportunities in Europe and US.
Common cultural-sportive- art Clubs and activities, sponsored and/or supported by the Company (Ex: Football, GYM, Swimming, Guitar, English…).
Powerful workstation: Core i7-9700, 16-32 GB RAM, 02 x QHD 2560x1440 monitors (2K resolution).
100% official salary during the probation period, 13th month salary, annual salary raises.
12 days of annual leave and 3 days of company holidays (New Year eve 31/12, Juneteenth day 18/6, Work Anniversary)
Up to 03 extra paid-leave days per year
A free “Hacking Day” per month for self-studying and researching any IT-related subjects.
Social, Health and Unemployed Insurance are based on 100% Gross salary and fully paid by Company.
Extra bonus at $ 60 per special occasions (Birthday, Labor Day, National Day, Solar New year, Lunar New Year).
Lunch allowance at $30 per month.
Baby allowance for a child under 03 years old is $ 12 per month.
AON Premium Healthcare Insurance package for employees and their children up to 18 years old.
Daily various foods, drink, and seasonal fresh fruits.
And many other benefits, let's join us to discover!
Optimizely is committed to a diverse and inclusive workplace. Optimizely is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status.

#LI-SR1"
5,"Junior Human Resources General Specialist (Hanoi Office)
- job post","Posted
Posted 30+ days ago",DEK Technologies,https://jobs.vn.indeed.com/cmp/Dek-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h84mm2gfn000&fromjk=ef5a0992474e4c62,Hà Nội,,"Job Description
DEK Technologies Vietnam is growing fast, and we are looking for a Junior Human Resources Generalist to join our Human Resources sub-team taking care of Hanoi Office.
You will be responsible for performing assigned human resources related duties by collaborating with Human Resources Team in Ho Chi Minh City to ensure smooth Hanoi Office daily operations. You will gain excellent interpersonal and communication skills with the ability to multitasks and adapt in a fast-paced environment.

Your responsibilities include but not limited to the following:
Recruitment: collaborating with Talent Acquisition Team in Ho Chi Minh City Office to meet recruitment demands for the company by:
Sourcing, filtering, interview arranging and offering for qualified candidates.
Building up and developing pool of resources to meet hiring demands.
Involving in all regular internal & external activities: technical workshops/seminars, Job Fairs, etc.
Maintaining different relationships with business partners (e.g., Universities, communities, etc.) for recruiting purposes.
Administration: collaborating with Administration Team in Ho Chi Minh City Office to provide professional and caring support to Hanoi Office members by:
Taking care of staff’s benefits: healthcare insurance, health check, annual trip, family day, birthday parties, etc.
Preparing, following up employee on-boarding and off-boarding.
Determining administration issues and resolving to make sure smooth operations.
Learning and Development: collaborating with Learning and Development Team in Ho Chi Minh City Office to maintain and develop continuous learning culture for the company by:
Arranging, following up, and reporting learning activities (Technical Skill, Soft Skill, English Program, Employee Well-being program, etc.).
Conducting professional onboarding and orientation process for new hires (Corporate Policy, Code of Conduct, Compensation & Benefits Overview).
Compensation and Benefits: collaborating with Compensation and Benefits Team in Ho Chi Minh City Office to provide professional and fast support to Hanoi Office members by:
Following up timesheets for intime payroll processes.
Preparing contracts for new hires and staff members
Other tasks will be assigned when required.
At DEK Technologies Vietnam, you will live with Agile & Lean principles where employees are empowered at all levels to collaborate cross-functionally, to take pride in collective ownership, to improve yourself by continuously learning, practicing & sharing with others.

Requirements
Bachelor’s Degree in Human Resources, Business Administration, or related Degree.
At least 1 year of experience in Human Resources General positions.
High Integrity: Open and Honest.
Energetic and Can-do attitude.
Mature, Careful and Attention to Details.
Good at Labour Code, PIT Law, Social Insurance Law, and other related Regulations.
Good at human interaction as well as English communication.
Highly proficient with office software and data management.

Benefits
At DEK Technologies you will find yourself in an exciting career with:

Compensation & benefits:
Attractive compensation and benefits you will love.
Annual health check-up and Extra 24/7 Health and Accident Insurance applied from the 1st day of joining.
Loyalty bonus for long-term employees such as Cash bonus, Gifts, Extra insurance, and Extra leave.
Career advancement
Onsite Program, Exchange Program and Office Transfer Program.
Diverse offline and online technical workshop, soft skills training sessions and health talks.
English courses taught by DEK’s English teacher.
At DEK, there are many different possible career paths. You can also tailor one for yourself.
Work environment
40 flexible working hours per week from Monday to Friday.
Annual Trip, Family Day, Year End party, BBQs party, Team Building, Release Celebration, Mid-Autumn party, Christmas party, Thank You party, etc.
Football Club, Badminton Club, Running Club, Music band, etc.

About Us

DEK Technologies is a professional organization that places high value on people and the individual competence that they contribute. People enjoy working at DEK. They enjoy the team camaraderie, flexibility, opportunities for travel, and feeling part of the company’s success. Come and be a proud, integral part of helping our international customers develop the latest products that are sold globally and used by millions of people around the world. With offices situated in Melbourne Australia, Stockholm Sweden, Rome Italy, and Ho Chi Minh City Vietnam, you too can be a key part of our success.

Job Information
Industry
IT Services
City
Hanoi
State/Province
Ha Noi
Country
Vietnam
Zip/Postal Code
100000"
6,"University Program Specialist
- job post","Posted
Posted 2 days ago",Synopsys,https://jobs.vn.indeed.com/cmp/Synopsys?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h89hg2gfn000&fromjk=12e51973cc8b3204,Hà Nội,,"47289BR
VIETNAM-Hanoi
Job Description and Requirements
Based in Hanoi: University Program Specialist - Managing Talent Training & Academic Partnership Program for Vietnam and South East Asia
This is university program and talent development management role, responsible for developing long term relationships with key academics, creating positive bias for Synopsys tools amongst professors and students nurturing strategic monetizing opportunities created at these not-for-profit organizations.
A successful candidate has not only versatile EDA &/ enterprise software engineering background, but also a proven track record of managing a large cross functional program. He or she is agile, flexible, and willing to roll up the sleeves to get things done.
Responsibilities
Develop long-term relationships with key academics to increase access to talent pipelines.
Establish relationship network to tap into Vietnam/South East Asia research grants.
Increase Synopsys’ product popularity in academia for classroom and research use by leveraging corporate university license program and training/enablement resources.
Working with regional sales/marketing/field teams, to fund, and organize Synopsys events such as Design contests, tech talks at conferences or trade shows, to increase exposure and enhance brand.
Build and execute an events strategy that supports the deployment of Synopsys technology in academia.
Partner with recruiters on strategies to build strong ties to your office both while interns are onsite and beyond to help increase conversion rates.
Bring revenue growth opportunities through strategic monetization of commercial opportunities from productized research projects.
The talent development role also involves in leveraging internal training program to co-work with finishing school/design service company and other region, e.g., Vietnam Intensive Training, to build up the talent pipeline for Synopsys and our customers.
Other administration supports.
Key Qualification
Bachelor's degree in Engineering, Marketing, Foreign Trade or Human Resources field;
2 years of experience in EDA/microelectronic industry and/or semiconductor ecosystem, with at least 1 year of experience of managing an academic partnership program, or similar
A great influencer, and a primary in cross functional management including leveraging resources from various organizations, and coordinating/managing legal (contract, IP, etc.) and operation issues.
A methodical and yet creative program manager, from strategic planning, establishing framework, to daily operation.
A collaborative partner, and strategic thinker, and result-oriented doer
A good communicator, comfortable to MC events of large audiences
Excellent organizational skills & Exceptional attention to detail
Effective oral and written communication skills with ability to communicate across all levels of the organization as well as externally.
Ability to prioritize and multiple priorities in a fast-paced, high-volume environment.
Strong problem solving, analytical and critical thinking skills.
Ability to handle ambiguous situations and deliver desired goals.
Interest in contributing to Synopsys Academic & Research Alliances missions and goals.
The Go-To-Market Group is focused on selling our complete portfolio of EDA software, market-leading IP, and differentiated systems solutions combined with AI and Cloud offerings. Our culture is anchored on the relentless focus on Customer Success powered by a data-driven 'Operating System'.
At Synopsys, we’re at the heart of the innovations that change the way we work and play. Self-driving cars. Artificial Intelligence. The cloud. 5G. The Internet of Things. These breakthroughs are ushering in the Era of Smart Everything. And we’re powering it all with the world’s most advanced technologies for chip design and software security. If you share our passion for innovation, we want to meet you.
Inclusion and Diversity are important to us. Synopsys considers all applicants for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, military veteran status, or disability.

Job Category
Marketing
Country
Viet Nam
Job Subcategory
University Programs
Hire Type
Employee"
7,"Human Resources Manager - Sheraton Can Tho
- job post","Posted
Posted 11 days ago","Marriott International, Inc",https://jobs.vn.indeed.com/cmp/Marriott-International?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h8da1k3rh801&fromjk=a70ede767e3c2680,Hà Nội,,"Job Number 23202544
Job Category Human Resources
Location Sheraton Can Tho, No. 209, 30/4 Street, Can Tho, Ha Noi, Viet Nam VIEW ON MAP
Schedule Full-Time
Located Remotely? N
Relocation? N
Position Type Management

JOB SUMMARY

As a member of the property Human Resources support staff, he/she works with Human Resources employees to carry out the daily activities of the Human Resource Office including oversight of recruitment, total compensation, and training and development. Additionally, he/she focuses on delivering HR services that meet or exceed the needs of employees and enable business success; as well as ensures compliance with all applicable laws, regulations and operating procedures.

CANDIDATE PROFILE

Education and Experience
High school diploma or GED; 3 years experience in the human resources, management operations, or related professional area.
OR
2-year degree from an accredited university in Human Resources, Business Administration, or related major; 1 year experience in the human resources, management operations, or related professional area.

CORE WORK ACTIVITIES

Managing Recruitment and Hiring Process
Assists in the interviewing and hiring of Human Resource employee team members with the appropriate skills, as needed.
Establishes and maintains contact with external recruitment sources.
Attends job fairs and ensures documentation of outreach efforts in accordance with Human Resource Standard Operating Procedures.
Networks with local organizations (e.g., Hotel Association and peers) to source candidates for current or future openings.
Oversees/monitors candidate identification and selection process.
Provides subject matter expertise to property managers regarding selection procedures.
Partners with vendor partners to ensure effective advertisement efforts are being utilized for open positions in appropriate venues to attract a diverse candidate pool.
Performs quality control on candidate identification/selection.

Administering and Educating Employee Benefits
Works with the unemployment services provider to respond to unemployment claims; reviews provider reports for accuracy and corrects errors.
Prepares, audits and distributes unemployment claim activity reports to property management.
Attends unemployment hearings and ensures property is properly represented.
Ensures that department has the available resources on hand to administer employee.

Managing Employee Development
Supports a departmental orientation program for employees to receive the appropriate new hire training to successfully perform their job.
Ensures employees are cross-trained to support successful daily operations.
Uses all available on the job training tools for employees; supervise on-going training initiatives and conducts training, when appropriate.
Ensures coordination and facilitation of new hire orientation program to generate a positive first impression for employees and emphasize the importance of guest service in company culture.
Ensures attendance by all new hires and participation of the leadership team in training programs
Collaborates with management team to ensure departmental orientation processes are in place and employees receive the appropriate new hire training to successfully perform their job.

Maintaining Employee Relations
Assists in maintaining effective employee communication channels in the property (e.g., develops daily communications and assists with regularly scheduled property-wide meetings).
Reviews progressive discipline documentation for accuracy and consistency, and checks for supportive documentation and is accountable for determining appropriate action.
Utilizes an “open door” policy to acknowledge employee problems or concerns in a timely manner
Ensures employee issues are referred to the Department Manager for resolution or escalated to the Director of Human Resources/Multi-Property Director of Human Resources.
Partners with Loss Prevention to conduct employee accident investigations, as necessary.
Communicates performance expectations in accordance with job descriptions for each position.

Managing Legal and Compliance Practices
Ensures employee files contain required employment paperwork, proper performance management and compensation documentation, are properly maintained and secured for the required length of time.
Ensures compliance with procedure for accessing, reviewing, and auditing employee files and ensure compliance with the Privacy Act.
Ensures medical records are maintained in a separate, secure and confidential medical file.
Facilitates random, reasonable belief and post accident drug testing process (in properties where applicable).
Communicates property rules and regulations via the employee handbook.
Ensures all safety and security policies (e.g., property removal, lost and found items, blood borne pathogens, accident reporting, and hygiene) are communicated to employees on a regular basis through orientation, property meetings, bulletin boards, etc.
Conducts periodic claims reviews with Regional Claims office to ensure claims are closed in a timely manner and reserve levels are appropriate for open claims.
Represents Human Resources at the property Safety Committee; helps to identify ways to create awareness of the importance of safety in the workplace and decrease accident frequency and severity.
Manages Workers Compensation claims to ensure appropriate employee care and manage costs.
Oversees the selection/non-selection and offers processes to ensure proper procedures are followed (e.g., valid reasons for selection/non-selection and applicants receive status notifications).

Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.

When you join the Sheraton family, you become a member of its global community. We’ve been a place to gather and connect since 1937. At Sheraton, associates create a sense of belonging in more than 400 communities around the world. We invite, we welcome, and we connect guests through engaging experiences and thoughtful service. If you’re a team player who is excited to deliver a meaningful guest experience, we encourage you to explore your next career opportunity with Sheraton. Join us on our mission to be ‘The World’s Gathering Place’. In joining Sheraton Hotels & Resorts, you join a portfolio of brands with Marriott International. Be where you can do your best work, begin your purpose, belong to an amazing global team, and become the best version of you."
8,"[RS112 - Hybrid/Hanoi] PO/PM (HR Software) Upto $2500 Gross
- job post","Employer
Active 7 days ago",Gata Global,https://jobs.vn.indeed.com/cmp/Gata-Global?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h8i0ek3sq800&fromjk=ca80e95b49a8ead3,Hà Nội,,"NOTE:
+ Kinh nghiệm ở mức senior
+ Có kinh nghiệm sử dụng các phần mềm quản trị nhân sự lớn
+ Tiếng Anh tốt
+ Scope sẽ là phát triển phần mềm nhân sự, sau đó sẽ làm việc như 1 HR coordinator/generalist
+ Team nhân sự hiện tại <10 người
Our client
A long-standing company developing Digital Maritime Platform with offices in many countries such as Singapore, Australia, Malta…
Job Summary
The HRIS Analyst will be responsible for delivering high quality services, support and administration of all aspects of Human Resources. The role will be accountable for ongoing system management and support, data integrity and governance and P&C reporting.
Major Responsibilities:
First point of contact relating to HRIS system and responsible for monitoring and managing workflows and processes
Perform regular data quality audits and ensure ongoing governance adherence
Partner with third party providers for all aspects of system maintenance, upgrades etc, and work with them to gain the best optimisation, user experience and system adoption
Focus on continuous improvement for both systems and data to enable the P&C team to add value
Manage all employee related changes and updates through HRIS ensuring compliance requirement and payroll deadlines are met
Manage HRIS set up to enable delivery of key cyclical HR activities such as annual performance review cycle, engagement surveys and remuneration review etc
Support and assist in all activities related to the employee lifecycle and general HR queries
Collaborate with the wider HR team to plan and execute key HR activities
Qualifications, Skills & Attributes
Tertiary qualification in Human Resources or related
Strong attention to detail and a high level of accuracy, process orientated
Able to work both independently and with cross- functional team
Previous experience implementing, maintaining and developing HRIS
Knowledge of HR principle, methods and best practices
Advanced skill in Word, Excel
Strong analytical and problem solving skills
Collaborative mindset with the ability to work independently and as part of a broader team
Benefits
Up to $2500 monthly salary
13th-month salary
Full equipment including laptop
Health Care Insurance (Vinmec)
Interview process
CV, PI test, 1st interview, take home test, 2nd interview
Working mode
Fulltime
Hybrid: 2-3 days/ week
Location
Thai Ha, Dong Da, Ha Noi
Loại hình công việc: Toàn thời gian
Lương: Lên đến 62.000.000₫ một tháng
Trình độ học vấn:
Đại học (Ưu tiên)
Ability to Commute:
Hà Nội (Bắt buộc)
Ability to Relocate:
Hà Nội: Relocate before starting work (Bắt buộc)"
9,"HR Executive - 100% Remotely
- job post","Employer
Active 6 days ago",Hexa Property Management,https://jobs.vn.indeed.com/cmp/Hexa-Property-Management?campaignid=mobvjcmp&from=mobviewjob&tk=1hg7h8mnah0jc800&fromjk=0ac31a5f7490afc3,Thành phố Hồ Chí Minh,"18,000,000 VNĐ - 22,000,000 VNĐ a month","Main Mission: Manage human resources functions to support the organization's workforce, foster a positive work environment, and ensure compliance with HR policies and regulations.
Responsibilities:
Assist in recruitment and selection processes, including job posting, candidate screening, and interviews.
Administer employee onboarding, orientation, and training programs.
Manage employee records, benefits administration, and payroll coordination.
Address employee inquiries, and concerns, and provide guidance on HR policies.
Oversee performance management, and evaluations, and assist in talent development initiatives.
Ensure compliance with labor laws, regulations, and company policies.
Information and Reporting:
Maintain records of recruitment activities, employee data, and HR-related processes.
Authorities:
Authorized to manage recruitment processes, handle employee records, and assist in HR functions.
Working Time and Mode:
The role operates from 10 AM to 6 PM (Monday - Friday), totaling 40 hours a week.
Competency Standards:
Working hours availability: MUST be able to work at nighttime Vietnam time
Minimum Qualification: Bachelor's degree in human resources, business administration, or related field.
Specialized: Proficiency in HR practices, recruitment, employee relations, and compliance.
Experience: Having at least 2 years of experience in HR
Skills: Strong communication, interpersonal, and problem-solving skills in ENGLISH and VIETNAMESE
Relevant Certificate: HR certification (e.g., PHR, SHRM-CP) is advantageous.
Relevant Knowledge: Knowledge of labor laws, HR software, and talent management.
Necessary Qualities: Confidentiality, empathy, adaptability, teamwork, and attention to detail.
Why join Hexa?
The foundation of Hexa is based on our core values of promoting an environment of diversity, tolerance, inclusion, and equality for all our members, partners, and clients. We strive to foster a workplace that is free of discrimination of any sort, be it religious, cultural, or gender, and one which is safe for all. Team Hexa strongly believes that we have been able to prosper because of these very values.
Schedule: 10AM - 5PM (CST) Monday - Friday, 10AM - 3PM (CST) Saturday
If you have the right skills and experience and want to join our team, apply today.
Job Type: Full-time
Salary: 18,000,000₫ - 22,000,000₫ per month
Application Question(s):
Rate your English skills on a scale 1 to 10
Are you committed to work at nighttime?
Experience:
HR: 2 years (Required)
Application Deadline: 2023/11/30"
